region,municipality,year,Median of debt for All debts,Median of debt for Consumption debts and other debts,Median of debt for Debts charged on business activities and a source of income,Median of debt for Housing loan debts,Median of debt for Study loan debts,Mean of debt for All debts,Mean of debt for Consumption debts and other debts,Mean of debt for Debts charged on business activities and a source of income,Mean of debt for Housing loan debts,Mean of debt for Study loan debts,"B2N Operating surplus, net","B3N Mixed income, net","D11R Wages and salaries received, income","D12R Employer's social security contributions, income","D4OMR  Property income, (incl. holding gains and losses), income","D4K Property income, expenditure",B5N Net national income,"D62R Social benefits other than social transfers in kind, income","D7R Other current transfers, income","D5K Income, property and other direct taxes excl. capital taxes, expenditure",D61K Employer's social security contributions,"D7K Other current transfers, expenditure","B6N Disposable income, net"
01,018,2003,59388.0,11716.0,40324.0,61190.0,4344.0,80012.0,20022.0,78676.0,75452.0,6172.0,,,,,,,,,,,,,
01,018,2004,58848.0,12650.0,39612.0,65961.0,4353.0,83471.0,21301.0,75242.0,81801.0,6150.0,,,,,,,,,,,,,
01,018,2005,69631.0,14614.0,43714.0,79899.0,4612.0,105231.0,31828.0,79489.0,101007.0,6593.0,,,,,,,,,,,,,
01,018,2006,81678.0,16863.0,39098.0,88128.0,4851.0,110952.0,31722.0,71991.0,111023.0,6657.0,,,,,,,,,,,,,
01,018,2007,84166.0,16356.0,41275.0,97776.0,3894.0,118083.0,31443.0,80796.0,120730.0,5695.0,,,,,,,,,,,,,
01,018,2008,90015.0,15326.0,49057.0,109020.0,3655.0,122077.0,30972.0,89419.0,126219.0,5287.0,,,,,,,,,,,,,
01,018,2009,98408.0,15590.0,53905.0,117239.0,4665.0,127648.0,32463.0,90780.0,130709.0,5360.0,,,,,,,,,,,,,
01,018,2010,104831.0,15576.0,51777.0,126027.0,4358.0,131248.0,35109.0,86968.0,132647.0,5729.0,,,,,,,,,,,,,
01,018,2011,112515.0,14659.0,46984.0,127557.0,3902.0,133835.0,35162.0,95830.0,135242.0,6080.0,,,,,,,,,,,,,
01,018,2012,119719.0,17799.0,64275.0,129480.0,4041.0,142515.0,42444.0,110263.0,137712.0,5442.0,,,,,,,,,,,,,
01,018,2013,116757.0,17860.0,51190.0,122629.0,3797.0,140949.0,44837.0,102606.0,134046.0,5875.0,,,,,,,,,,,,,
01,018,2014,117875.0,17718.0,54311.0,127136.0,4075.0,138092.0,42832.0,118693.0,133389.0,6019.0,,,,,,,,,,,,,
