region,municipality,year,"R&D expenditure (Mill. EUR) for ENTERPRISE SECTOR, TOTAL","R&D expenditure (Mill. EUR) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D expenditure (Mill. EUR) for HIGHER EDUCATION SECTOR, TOTAL",R&D expenditure (Mill. EUR) for Total,"R&D personnel (HC) for ENTERPRISE SECTOR, TOTAL","R&D personnel (HC) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D personnel (HC) for HIGHER EDUCATION SECTOR, TOTAL",R&D personnel (HC) for Total,"R&D in full-time equivalents (FTE) for ENTERPRISE SECTOR, TOTAL","R&D in full-time equivalents (FTE) for GOVERNMENT SECTOR + PRIVATE NON-PROFIT SECTOR, TOTAL","R&D in full-time equivalents (FTE) for HIGHER EDUCATION SECTOR, TOTAL",R&D in full-time equivalents (FTE) for Total
01,Total,2011,2111.5,428.1,562.8,3102.4,18441,6017,11153,35611,13862.5,4470.2,5918,24250.7
02,Total,2011,561.4,18.9,166.5,746.8,3481,308,3829,7618,2712.7,221.1,1962.5,4896.3
04,Total,2011,91.9,2.9,14.1,109,920,32,318,1270,604.6,29,187.4,821
05,Total,2011,39.7,34.8,10,84.5,620,521,321,1462,351.2,474.6,130.4,956.2
06,Total,2011,873.6,45.7,154.2,1073.5,5796,582,3657,10035,4711.5,482.4,1873.2,7067.2
07,Total,2011,49.4,2.7,13.4,65.4,670,59,248,977,441.7,47.1,144.2,633
08,Total,2011,19.6,...,5.9,26.7,304,...,224,539,192,...,84.3,284.8
09,Total,2011,48.5,3,37.6,89.1,544,44,734,1322,385.3,29,407.5,821.8
10,Total,2011,14.6,5.4,19.4,39.4,265,81,253,599,135.3,72.9,218.3,426.5
11,Total,2011,53.7,25,71.4,150.1,749,385,1742,2876,483.1,323.1,873.6,1679.8
12,Total,2011,22.9,13.6,51.1,87.6,372,184,957,1513,207.6,162,553.5,923.1
13,Total,2011,85.6,24.1,102.1,211.9,946,357,2109,3412,663.6,295.2,1164.4,2123.2
14,Total,2011,33.6,3.7,9.1,46.4,566,35,219,820,378.8,26.3,103.3,508.4
15,Total,2011,162.8,...,31.9,195.2,1273,...,733,2014,1162.6,...,356.3,1525.6
16,Total,2011,12.9,3.3,5.8,22,219,46,108,373,154.7,46.5,71.4,272.6
17,Total,2011,814.9,51.7,142,1008.6,4979,643,2792,8414,4247,548.9,1402.7,6198.6
18,Total,2011,12.2,3,10.2,25.4,226,37,216,479,107.6,36.8,109.4,253.8
19,Total,2011,34.3,16.4,23.5,74.1,507,220,660,1387,332.6,213.1,277.3,823
01,Total,2012,1965.8,403.6,592.8,2962.2,18537,5680,10678,34895,13810.1,4042.1,6060.9,23913.1
02,Total,2012,542.4,16.9,166.2,725.5,3606,253,3675,7534,2780.4,178.4,1959.7,4918.5
04,Total,2012,92.4,3,13.1,108.5,944,38,338,1320,659,32,166.7,857.7
05,Total,2012,40.1,36.7,8.8,85.6,620,517,325,1462,347.8,473.8,123.3,945
06,Total,2012,718.9,50,163.8,932.7,5139,548,3570,9257,4307.9,464.5,1868.8,6641.2
07,Total,2012,54.9,2.2,13,70.1,790,57,298,1145,526.8,46.9,144.3,718.1
08,Total,2012,16.1,0.7,6.6,23.4,243,14,247,504,167.3,7.5,86.3,261.1
09,Total,2012,64.9,3.5,43.7,112.1,562,36,748,1346,400.5,28,429.2,857.7
10,Total,2012,17,5.3,19.7,42,279,73,349,701,170.2,69.1,206.7,446
11,Total,2012,56.1,26.2,73.9,156.2,784,424,1560,2768,486.5,345.8,852,1684.3
12,Total,2012,21.7,13.7,51,86.4,384,180,1022,1586,206.2,155.8,536.7,898.7
13,Total,2012,98,24.4,104.1,226.5,1135,337,2117,3589,736.2,249.1,1181.3,2166.6
14,Total,2012,35.7,4.1,10,49.8,478,35,228,741,330.4,30.3,100.8,461.5
15,Total,2012,164.6,0.6,32.9,198.1,1280,13,765,2058,1178.6,8.7,372.7,1560
16,Total,2012,14.1,3.3,5.6,23,213,44,120,377,134.4,40.4,66.4,241.1
17,Total,2012,745,51.6,134.9,931.5,4671,601,3038,8309,4375.8,509.3,1584.7,6469.8
18,Total,2012,13.6,3.3,9.5,26.4,218,35,233,486,117.2,39.3,111,267.4
19,Total,2012,29.5,13.2,24.5,67.1,352,205,657,1214,211.3,184.6,287.5,683.3
01,Total,2013,2049.9,398.7,568.1,3016.7,19098,5584,10159,34841,13855.1,4067.3,5886.2,23808.6
02,Total,2013,471.5,15.1,168,654.6,3459,272,3887,7617,2746.2,177.5,2004.9,4928.6
04,Total,2013,83.2,2.7,12.7,98.6,922,41,312,1275,632.6,28.2,150.5,811.4
05,Total,2013,37.4,34.2,7.5,79.1,572,504,296,1373,335,449.5,114.1,898.6
06,Total,2013,722.1,47.4,157.5,927,5483,562,3539,9584,4428.9,491.6,1733.8,6654.3
