,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
"Gross value added (millions of euro), C Manufacturing (10-33)",1.0,0.7171131273418796,0.6158264856944294,0.6241412061105536,0.06234661193948045,0.4164477072247237,0.15243413624842544,-0.08462886371503622,-0.00957369836400184,0.40451029837606906,0.4240905369925115,0.04232620611655962,0.18535202505798148,-0.10206162092691047,-0.26828747160275584,-0.010902489092496258,-0.23516103823870216,-0.7120343465533223
"Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.7171131273418796,1.0,0.44153367980695707,0.6176481896662932,-0.26959402635935725,0.15050671789683523,-0.2626752598123411,-0.17374531100185733,-0.24668994503204486,0.42932129750908254,0.3066597288014542,0.09762701196049753,0.08990499111005228,-0.1268298454170877,-0.13393889419927235,-0.2921676850253399,-0.3971732041740943,-0.733262734145099
"Gross value added (millions of euro), L Real estate activities",0.6158264856944294,0.44153367980695707,1.0,0.5083143447209005,-0.027844988785912732,0.16713287858084858,0.15333060036756183,0.21555419940509848,0.05200313792319052,0.1954470142947714,0.4243494458307821,0.3448917130452359,0.19153974236194707,-0.155911596991528,-0.12332548300542204,0.29635204404278787,-0.11196324700953424,-0.5384467892793915
"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)",0.6241412061105536,0.6176481896662932,0.5083143447209005,1.0,-0.11644186450235776,0.17703935786654346,-0.30662666465357813,-0.2947906920723211,-0.2888010540156005,0.6032957302693361,0.6594258016629323,0.2003283423262879,0.1249134941915338,-0.26748685664047417,-0.5062174551402767,-0.06954949564827523,-0.5152438929069807,-0.7490253726392744
"Gross value added (millions of euro), B Mining and quarrying (05-09)",0.06234661193948045,-0.26959402635935725,-0.027844988785912732,-0.11644186450235776,1.0,0.7296119581845009,0.39582145495465837,0.2952189698101362,0.27669395606165265,-0.31843169585973574,-0.2651915124078404,-0.4864766910881803,0.20420927834550098,0.28014233212057565,0.20621987268492853,0.3443456609283496,0.4425696730255009,0.08985111206005666
"Gross value added (millions of euro), F Construction (41-43)",0.4164477072247237,0.15050671789683523,0.16713287858084858,0.17703935786654346,0.7296119581845009,1.0,0.38104557040070525,0.18748397209596002,0.23579647171325488,-0.15559825703266617,-0.14151765406315983,-0.4645938155062414,0.36511662237104153,0.3508664060922693,0.1591773904218025,0.1721082255629117,0.3003496510059935,-0.21619049067040377
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)",0.15243413624842544,-0.2626752598123411,0.15333060036756183,-0.30662666465357813,0.39582145495465837,0.38104557040070525,1.0,0.3535981095219623,0.48535269562342814,-0.05398874974588714,-0.30861090243890205,-0.3128108197076954,0.0829512382420126,0.39740078705847315,0.2122842928477271,0.04914548539491817,0.5152100744790179,0.20195926958565352
"Gross value added (millions of euro), H Transportation and storage (49-53)",-0.08462886371503622,-0.17374531100185733,0.21555419940509848,-0.2947906920723211,0.2952189698101362,0.18748397209596002,0.3535981095219623,1.0,0.45705558228107707,-0.21954961920559596,-0.5632970637451582,-0.19656107031148537,0.43699315192434823,0.711337440557184,0.7058525677005159,-0.058106418926396654,0.6208026540339854,0.41028675265963316
"Gross value added (millions of euro), I Accommodation and food service activities (55-56)",-0.00957369836400184,-0.24668994503204486,0.05200313792319052,-0.2888010540156005,0.27669395606165265,0.23579647171325488,0.48535269562342814,0.45705558228107707,1.0,-0.1685364132334697,-0.20369155996331748,-0.3749602879400094,0.051106060797198295,0.43423284538085016,0.36087096750361064,0.002697693505954665,0.661444878056452,0.2499317848500585
"Gross value added (millions of euro), J Information and communication (58-63)",0.40451029837606906,0.42932129750908254,0.1954470142947714,0.6032957302693361,-0.31843169585973574,-0.15559825703266617,-0.05398874974588714,-0.21954961920559596,-0.1685364132334697,1.0,0.45788583805557936,0.3814110612200652,-0.2978566758770662,-0.24876056570928912,-0.41113895764639935,-0.23470597888637318,-0.4107071785647512,-0.35385829757754456
