,"Gross value added (millions of euro), A Agriculture, forestry and fishing","Gross value added (millions of euro), B Mining and quarrying","Gross value added (millions of euro), F Construction","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles","Gross value added (millions of euro), H Transportation and storage","Gross value added (millions of euro), I Accommodation and food service activities","Gross value added (millions of euro), J Information and communication","Gross value added (millions of euro), K Financial and insurance activities","Gross value added (millions of euro), M Professional, scientific and technical activities","Gross value added (millions of euro), N Administrative and support service activities","Gross value added (millions of euro), O Public administration and defence; compulsory social security","Gross value added (millions of euro), P Education","Gross value added (millions of euro), Q Human health and social work activities","Gross value added (millions of euro), R, S Other service activities","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use"
"Gross value added (millions of euro), A Agriculture, forestry and fishing",1.0,0.28074195409337094,0.24387650773580963,-0.3614714709962529,0.3403955684185597,-0.2915018149187691,0.5660468771470104,0.4032807475850058,-0.0328671012808427,-0.03148939909406545,-0.5314199373533255,-0.06405183360409898,-0.24436862731381195,-0.7326133808815458,-0.43208155660670566
"Gross value added (millions of euro), B Mining and quarrying",0.28074195409337094,1.0,0.6217941658082837,0.5138492773887501,0.536040311483094,0.08617828517635095,0.5534712113129904,-0.13905012334175645,0.21899172787730856,0.5905360906574862,-0.14769418927703473,0.490102261629017,-0.02300568243649758,-0.28814567571790745,-0.5096678646109439
"Gross value added (millions of euro), F Construction",0.24387650773580963,0.6217941658082837,1.0,0.4277178055775248,0.28039963224629877,0.026774451520859003,0.38143273118735715,0.009892760750833724,0.2464987815402873,0.7536379635152088,-0.47358635003997906,0.19017681844946874,-0.11810505271392746,-0.24525039790559733,-0.3188878234243584
"Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles",-0.3614714709962529,0.5138492773887501,0.4277178055775248,1.0,0.4166763994108257,0.31652210339378123,0.13911399167688274,-0.26846940139316744,0.22997717522071826,0.42425755851136543,0.2064757662159824,0.3351942385253989,0.21484343677928935,0.4992817254824863,-0.13012656213376717
"Gross value added (millions of euro), H Transportation and storage",0.3403955684185597,0.536040311483094,0.28039963224629877,0.4166763994108257,1.0,0.26513395888256774,0.7518784081884333,0.21856230352303574,0.21906836007905672,0.15716941514571783,-0.09408655751960189,0.4110553847323368,0.25964104470342964,-0.08242179900025871,-0.6195255054105634
"Gross value added (millions of euro), I Accommodation and food service activities",-0.2915018149187691,0.08617828517635095,0.026774451520859003,0.31652210339378123,0.26513395888256774,1.0,0.24619429766922848,0.23583012464283323,-0.20878352285081594,0.3240155320000408,0.40902780214917694,0.26503849960935566,0.3716519464508335,0.4314344672373257,0.10893186096508978
"Gross value added (millions of euro), J Information and communication",0.5660468771470104,0.5534712113129904,0.38143273118735715,0.13911399167688274,0.7518784081884333,0.24619429766922848,1.0,0.4103417980316024,-0.02992977216229905,0.18368344707980522,-0.26761169932091977,0.30157587070572694,-0.002299752127652001,-0.4779875191480332,-0.5449404705933178
"Gross value added (millions of euro), K Financial and insurance activities",0.4032807475850058,-0.13905012334175645,0.009892760750833724,-0.26846940139316744,0.21856230352303574,0.23583012464283323,0.4103417980316024,1.0,-0.07653513173121512,-0.05778564056159209,-0.3093898639633648,-0.36204494787503444,0.03414842717992162,-0.21330676757871508,0.020520221349753037
"Gross value added (millions of euro), M Professional, scientific and technical activities",-0.0328671012808427,0.21899172787730856,0.2464987815402873,0.22997717522071826,0.21906836007905672,-0.20878352285081594,-0.02992977216229905,-0.07653513173121512,1.0,0.06272562357755514,0.0324035708229452,0.27238273549823727,0.0956114869640299,0.24704781303749357,-0.44534817325763615
"Gross value added (millions of euro), N Administrative and support service activities",-0.03148939909406545,0.5905360906574862,0.7536379635152088,0.42425755851136543,0.15716941514571783,0.3240155320000408,0.18368344707980522,-0.05778564056159209,0.06272562357755514,1.0,-0.061900495524782766,0.27594952286276525,-0.08000242479185689,-0.025826591769365675,-0.199278855875728
"Gross value added (millions of euro), O Public administration and defence; compulsory social security",-0.5314199373533255,-0.14769418927703473,-0.47358635003997906,0.2064757662159824,-0.09408655751960189,0.40902780214917694,-0.26761169932091977,-0.3093898639633648,0.0324035708229452,-0.061900495524782766,1.0,0.4351959957159025,0.31935136059799973,0.664248043269682,-0.009454922615256621
"Gross value added (millions of euro), P Education",-0.06405183360409898,0.490102261629017,0.19017681844946874,0.3351942385253989,0.4110553847323368,0.26503849960935566,0.30157587070572694,-0.36204494787503444,0.27238273549823727,0.27594952286276525,0.4351959957159025,1.0,0.5087806553642591,0.17898729179563272,-0.7168500828675483
"Gross value added (millions of euro), Q Human health and social work activities",-0.24436862731381195,-0.02300568243649758,-0.11810505271392746,0.21484343677928935,0.25964104470342964,0.3716519464508335,-0.002299752127652001,0.03414842717992162,0.0956114869640299,-0.08000242479185689,0.31935136059799973,0.5087806553642591,1.0,0.481084789148708,-0.33704135948406694
"Gross value added (millions of euro), R, S Other service activities",-0.7326133808815458,-0.28814567571790745,-0.24525039790559733,0.4992817254824863,-0.08242179900025871,0.4314344672373257,-0.4779875191480332,-0.21330676757871508,0.24704781303749357,-0.025826591769365675,0.664248043269682,0.17898729179563272,0.481084789148708,1.0,0.1812396661151929
"Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use",-0.43208155660670566,-0.5096678646109439,-0.3188878234243584,-0.13012656213376717,-0.6195255054105634,0.10893186096508978,-0.5449404705933178,0.020520221349753037,-0.44534817325763615,-0.199278855875728,-0.009454922615256621,-0.7168500828675483,-0.33704135948406694,0.1812396661151929,1.0
