,"A Agriculture, forestry and fishing (01-03)",B Mining and quarrying (05-09),F Construction (41-43),G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),H Transportation and storage (49-53),I Accommodation and food service activities (55-56),J Information and communication (58-63),K Financial and insurance activities (64-66),"M Professional, scientific and technical activities (69-75)",N Administrative and support service activities (77-82),O Public administration and defence; compulsory social security (84),P Education (85),Q Human health and social work activities (86-88),"R, S Other service activities (90-96)",T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)
"A Agriculture, forestry and fishing (01-03)",1.0,-0.3424393865110627,-0.24452580581040176,0.05876583802995419,-0.6087277940403438,-0.4190343719327513,0.3799776474191722,0.03567107650372775,0.31959497651862656,-0.5703022928913168,-0.5948103844253685,-0.5602696960820435,-0.8608768587668046,-0.8512174780642056,-0.48238019434386775
B Mining and quarrying (05-09),-0.3424393865110627,1.0,0.37376173788751155,-0.23199013101968602,0.49351124632293075,0.289111031193389,-0.22429953232013544,0.12401484120092583,0.1656714068251386,0.37443254227523765,0.13116550833187857,0.2193626913502975,0.41662322473769886,0.4297223772285748,-0.03179522046653578
F Construction (41-43),-0.24452580581040176,0.37376173788751155,1.0,-0.3315548395341128,0.42665463465686176,0.45276807350606696,-0.008390778881175532,-0.08135313871754576,0.3757021488122741,0.5414879831036244,-0.07581927092011423,-0.024653542467954682,0.3712531133855625,0.3710386771249609,-0.2472049070119447
G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.05876583802995419,-0.23199013101968602,-0.3315548395341128,1.0,0.11987258068972675,0.13092643474644938,0.24875477375166416,-0.08056519039408606,-0.007926201964120801,0.11830061222036353,0.23697299293579396,0.17178801951904926,0.08776684056669325,-0.11894751096227273,-0.015151788123676251
H Transportation and storage (49-53),-0.6087277940403438,0.49351124632293075,0.42665463465686176,0.11987258068972675,1.0,0.5680184047546186,-0.23131965775574778,0.16378632534357188,0.20604711397318112,0.6706367651983918,0.3720409936771354,0.7219466352183245,0.6857885122995983,0.7641141500125608,-0.11623921912412159
I Accommodation and food service activities (55-56),-0.4190343719327513,0.289111031193389,0.45276807350606696,0.13092643474644938,0.5680184047546186,1.0,0.04150151279401055,0.26295658991981885,-0.020001946188225334,0.3712389677942914,0.09427038445938034,0.489963797200885,0.5230545543910231,0.5628438942629879,0.27455926500226463
J Information and communication (58-63),0.3799776474191722,-0.22429953232013544,-0.008390778881175532,0.24875477375166416,-0.23131965775574778,0.04150151279401055,1.0,-0.0070384146404752655,0.09978930566498996,-0.46818900129543106,-0.13213653823602015,-0.3170619076200283,-0.30064221673162483,-0.4814408220606962,-0.2884748007233373
K Financial and insurance activities (64-66),0.03567107650372775,0.12401484120092583,-0.08135313871754576,-0.08056519039408606,0.16378632534357188,0.26295658991981885,-0.0070384146404752655,1.0,0.20322436894065685,-0.08855556367587554,0.26118568619020305,0.260206064193772,0.24626828508157572,0.17944197998398365,0.23757203280848094
"M Professional, scientific and technical activities (69-75)",0.31959497651862656,0.1656714068251386,0.3757021488122741,-0.007926201964120801,0.20604711397318112,-0.020001946188225334,0.09978930566498996,0.20322436894065685,1.0,0.30080008756975907,-0.3233358669272193,-0.16715180762338686,-0.11637766336163911,-0.08461721591476633,-0.5558811514292732
N Administrative and support service activities (77-82),-0.5703022928913168,0.37443254227523765,0.5414879831036244,0.11830061222036353,0.6706367651983918,0.3712389677942914,-0.46818900129543106,-0.08855556367587554,0.30080008756975907,1.0,0.17896895141441793,0.3645431644459336,0.6314974840124928,0.6221804053196516,-0.04827073236860833
O Public administration and defence; compulsory social security (84),-0.5948103844253685,0.13116550833187857,-0.07581927092011423,0.23697299293579396,0.3720409936771354,0.09427038445938034,-0.13213653823602015,0.26118568619020305,-0.3233358669272193,0.17896895141441793,1.0,0.3326859179441107,0.7344891235496164,0.5022320509914487,0.3052509837576417
P Education (85),-0.5602696960820435,0.2193626913502975,-0.024653542467954682,0.17178801951904926,0.7219466352183245,0.489963797200885,-0.3170619076200283,0.260206064193772,-0.16715180762338686,0.3645431644459336,0.3326859179441107,1.0,0.5230105587523968,0.7062602688459183,0.20078366348699192
Q Human health and social work activities (86-88),-0.8608768587668046,0.41662322473769886,0.3712531133855625,0.08776684056669325,0.6857885122995983,0.5230545543910231,-0.30064221673162483,0.24626828508157572,-0.11637766336163911,0.6314974840124928,0.7344891235496164,0.5230105587523968,1.0,0.8542295790236719,0.4326173696239271
"R, S Other service activities (90-96)",-0.8512174780642056,0.4297223772285748,0.3710386771249609,-0.11894751096227273,0.7641141500125608,0.5628438942629879,-0.4814408220606962,0.17944197998398365,-0.08461721591476633,0.6221804053196516,0.5022320509914487,0.7062602688459183,0.8542295790236719,1.0,0.38683650443848394
T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),-0.48238019434386775,-0.03179522046653578,-0.2472049070119447,-0.015151788123676251,-0.11623921912412159,0.27455926500226463,-0.2884748007233373,0.23757203280848094,-0.5558811514292732,-0.04827073236860833,0.3052509837576417,0.20078366348699192,0.4326173696239271,0.38683650443848394,1.0
