Region code,Region name,Year,GDP per capita (euro at current prices),Net disposable household income,Imports (euro),Exports (euro),"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (97-98)",Mean household debt,Population with a higher university level degree,Population with a lowest level tertiary or lower university level degree,Total population aged 0 - 24 years,Total population aged 25 - 39 years,Total population aged 40 - 59 years,Total population aged 60+ years,Total (population),Total population employed in Primary production sector,Total population employed in Processing sector,Total population employed in Services sector
1,Uusimaa,2000,36270.1,21447,,,255.5,40.8,15598.9,964.9,2501.6,5985.4,3248.8,609.3,3475.9,2205.2,4110.6,2677.2,1070.4,2374,1808.3,2503.3,1123.2,12.4,,,,,,,,,,,
1,Uusimaa,2001,38454.8,21341,,,235.4,43.4,16651.9,1049.8,2766.6,6491.5,3325.1,736.1,4055.9,2341.5,4309,2818.8,1202.1,2481.2,1906.9,2767.8,1154.7,7.7,,,,,,,,,,,
1,Uusimaa,2002,38552.7,22305,,,246.1,39.1,15138.7,1145.8,2449.9,6530.9,3381.9,751.4,4565.4,2108.8,4661.6,2828.2,1253.7,2506.5,1981.8,2977.4,1256.3,8.9,,,,,,,,,,,
1,Uusimaa,2003,38643.2,23552,,,235.6,34.6,15059.6,1354.2,2567,6380.4,3269.9,767.4,4293.5,1982.5,4864.7,2929.8,1366.6,2635.8,2043.4,3056,1299.9,11.4,72939.88461538461,,,,,,,,,,
1,Uusimaa,2004,40312.2,24999,,,233.9,42.8,15142.6,1343.7,2754.4,6842.6,3266.5,851.3,4858.8,2246,4920.7,3105.6,1545.6,2852.3,2125.5,3181.5,1268.6,16.7,81832.23076923077,,,,,,,,,,
1,Uusimaa,2005,41705,26015,,,221.4,34.3,16235.7,1417.9,2926.1,6995.2,3437.1,891.1,4330.3,2525.2,5283.1,3258.3,1705.4,2870.7,2276.7,3337.5,1474.7,16.9,93132.61538,,,,,,,,,,
1,Uusimaa,2006,43989.1,26950,,,207.5,46.1,17569.9,1720,3063.1,7027.3,3363.3,946.9,4375.2,2741,5538.2,3543.1,1877,3588.1,2320.3,3527.1,1636,17.5,101449.23076923077,,,,,,,,,,
1,Uusimaa,2007,47355.2,29069,,,236.6,32.2,19158.1,1788.2,3477.2,7910.3,3792.8,1052.1,4948,3256.6,5664.3,3985,2053.4,3821.1,2426.6,3720.8,1699.9,17.1,107646.57692307692,,,,,,,,,,
1,Uusimaa,2008,48910.2,29959,,,253.7,22.8,18870.2,1774.6,3590,8583.1,3661.7,1148.5,5092.6,2973,6328.6,4334.6,2611.3,4180.6,2612,3906.9,1911,23.7,109173.76923076923,,,,,,,,,,
1,Uusimaa,2009,46620.1,31137,,,217.1,77.3,14534.3,2229.6,3510.4,7800.7,3108.9,1084.9,5069.1,3030.7,6592.7,4088.6,2323.4,4417.3,2773.7,4285.2,1950.5,25.5,112624.34615384616,,,,,,,,,,
1,Uusimaa,2010,47943.9,33234,,,225.1,75.2,15811.8,2370.2,3561.6,7841.1,3447.4,1089.9,5200.9,2846.9,6673.3,4242.7,2523,4781.2,2909.4,4390.3,2040.2,28.6,116941.15384615384,170085,268622,444063,326770,417818,314623,1503274,3192,111588,549909
1,Uusimaa,2011,48614,34636,,,201.9,65.5,14785.2,2207.8,3521.6,8706.4,3544,1136.1,5455.9,2974,7052.2,4591.6,2542.9,3957.9,3025.6,4479.7,2168.3,31.8,116862.46153846152,175624,273653,447164,331049,417755,323207,1519175,3062,113543,560193
1,Uusimaa,2012,48536.8,35093,,,198,70.5,11156.4,1956.6,3865.8,9294.5,3570.8,1178.1,5703.1,3137.1,7260.5,4886.2,2668.9,3991.2,3274,4897.1,2207.1,40.2,127215.3846153846,181894,278338,450804,336391,417782,332089,1537066,3186,112512,571369
1,Uusimaa,2013,49746.8,36204,,,199.5,48.4,13413,1875.4,3924.9,9242.9,3709.4,1039.9,6005.4,3056.5,7505.5,4836.7,2747.2,4251.5,3307.8,5022.9,2286.8,46,128090.84615384616,189729,284718,453236,343239,418122,340420,1555017,3153,109822,565767
