Region,Municipality,Year,"Academic degree, higher university level degree (population)","Academic degree, lowest level tertiary and lower university level degrees (population)","Aged 18 or over, total (population)",Basic level studies (population),Matriculation examination (population),Vocational diploma (population),"With education, total (population)",0 - 19 Rural (population),0 - 19 Total (population),0 - 19 Urban (population),20 - 24 Rural (population),20 - 24 Total (population),20 - 24 Urban (population),25 - 29 Rural (population),25 - 29 Total (population),25 - 29 Urban (population),30 - 34 Rural (population),30 - 34 Total (population),30 - 34 Urban (population),35 - 39 Rural (population),35 - 39 Total (population),35 - 39 Urban (population),40 - 44 Rural (population),40 - 44 Total (population),40 - 44 Urban (population),45 - 49 Rural (population),45 - 49 Total (population),45 - 49 Urban (population),50 - 54 Rural (population),50 - 54 Total (population),50 - 54 Urban (population),55 - 59 Rural (population),55 - 59 Total (population),55 - 59 Urban (population),60 - 64 Rural (population),60 - 64 Total (population),60 - 64 Urban (population),65 - 69 Rural (population),65 - 69 Total (population),65 - 69 Urban (population),70 - 74 Rural (population),70 - 74 Total (population),70 - 74 Urban (population),75- Rural (population),75- Total (population),75- Urban (population),Total Rural (population),Total (population),Total Urban (population)
01,018,2010,147,603,3628,1222,188,1468,2406,1312,1312,0,179,179,0,219,219,0,326,326,0,311,311,0,373,373,0,373,373,0,364,364,0,343,343,0,364,364,0,211,211,0,160,160,0,294,294,0,4829,4829,0
01,018,2011,161,619,3677,1210,168,1519,2467,1330,1330,0,169,169,0,228,228,0,326,326,0,326,326,0,367,367,0,340,340,0,365,365,0,363,363,0,353,353,0,230,230,0,170,170,0,309,309,0,4876,4876,0
01,018,2012,165,644,3721,1174,175,1563,2547,1362,1362,0,172,172,0,227,227,0,311,311,0,377,377,0,337,337,0,358,358,0,358,358,0,345,345,0,356,356,0,262,262,0,166,166,0,318,318,0,4949,4949,0
01,018,2013,172,656,3713,1121,183,1581,2592,1363,1363,0,172,172,0,231,231,0,300,300,0,382,382,0,312,312,0,379,379,0,351,351,0,345,345,0,345,345,0,284,284,0,166,166,0,321,321,0,4951,4951,0
01,018,2014,182,667,3788,1117,193,1629,2671,1360,1360,0,194,194,0,224,224,0,305,305,0,365,365,0,338,338,0,372,372,0,358,358,0,356,356,0,340,340,0,321,321,0,164,164,0,331,331,0,5028,5028,0
01,018,2015,192,661,3792,1109,195,1635,2683,1383,1383,0,194,194,0,203,203,0,307,307,0,355,355,0,334,334,0,374,374,0,373,373,0,356,356,0,318,318,0,336,336,0,191,191,0,335,335,0,5059,5059,0
01,018,2016,199,651,3749,1078,181,1640,2671,1368,1368,0,188,188,0,199,199,0,283,283,0,345,345,0,330,330,0,361,361,0,344,344,0,368,368,0,329,329,0,326,326,0,208,208,0,351,351,0,5000,5000,0
01,018,2017,203,651,3718,1031,177,1656,2687,1321,1321,0,193,193,0,196,196,0,277,277,0,321,321,0,357,357,0,323,323,0,361,361,0,353,353,0,308,308,0,338,338,0,233,233,0,355,355,0,4936,4936,0
01,018,2018,200,651,3706,997,181,1677,2709,1306,1306,0,167,167,0,212,212,0,267,267,0,307,307,0,361,361,0,299,299,0,371,371,0,345,345,0,322,322,0,321,321,0,264,264,0,357,357,0,4899,4899,0
01,018,2019,208,674,3732,972,173,1705,2760,1268,1268,0,162,162,0,215,215,0,256,256,0,322,322,0,341,341,0,316,316,0,372,372,0,338,338,0,329,329,0,316,316,0,286,286,0,366,366,0,4887,4887,0
01,018,2020,216,678,3716,959,157,1706,2757,1216,1216,0,155,155,0,229,229,0,241,241,0,316,316,0,337,337,0,300,300,0,370,370,0,348,348,0,325,325,0,298,298,0,299,299,0,386,386,0,4820,4820,0
01,018,2021,221,682,3733,938,157,1735,2795,1168,1168,0,157,157,0,221,221,0,258,258,0,304,304,0,340,340,0,307,307,0,355,355,0,327,327,0,346,346,0,300,300,0,298,298,0,410,410,0,4791,4791,0
01,018,2022,227,697,3695,904,149,1718,2791,1103,1103,0,142,142,0,203,203,0,256,256,0,295,295,0,314,314,0,342,342,0,325,325,0,346,346,0,341,341,0,289,289,0,311,311,0,428,428,0,4695,4695,0
