Region,Municipality,Year,Industry,Enterprises Opening - Closing,#Bankrupcies,Investments(mln eur)
14,005,2013,Agriculture,-5.0,1.0,
14,005,2013,Industry,7.0,2.0,
14,005,2013,Services,-2.0,5.0,
17,009,2013,Agriculture,1.0,0.0,
17,009,2013,Industry,0.0,1.0,
17,009,2013,Services,4.0,2.0,
14,010,2013,Agriculture,-6.0,1.0,
14,010,2013,Industry,5.0,1.0,
14,010,2013,Services,14.0,2.0,
07,016,2013,Agriculture,5.0,0.0,
07,016,2013,Industry,2.0,0.0,
07,016,2013,Services,16.0,4.0,
01,018,2013,Agriculture,-1.0,0.0,
01,018,2013,Industry,-1.0,0.0,
01,018,2013,Services,-3.0,1.0,
02,019,2013,Agriculture,2.0,0.0,
02,019,2013,Industry,-3.0,0.0,
02,019,2013,Services,4.0,7.0,
06,020,2013,Agriculture,0.0,1.0,
06,020,2013,Industry,-6.0,0.0,
06,020,2013,Services,-2.0,6.0,
21,035,2013,Agriculture,0.0,0.0,
21,035,2013,Industry,1.0,0.0,
21,035,2013,Services,1.0,0.0,
21,043,2013,Agriculture,0.0,0.0,
21,043,2013,Industry,3.0,0.0,
21,043,2013,Services,-3.0,1.0,
10,046,2013,Agriculture,1.0,0.0,
10,046,2013,Industry,0.0,0.0,
10,046,2013,Services,-2.0,1.0,
19,047,2013,Agriculture,-2.0,0.0,
19,047,2013,Industry,-1.0,0.0,
19,047,2013,Services,-2.0,2.0,
01,049,2013,Agriculture,5.0,2.0,
01,049,2013,Industry,50.0,11.0,
01,049,2013,Services,228.0,131.0,
04,050,2013,Agriculture,1.0,1.0,
04,050,2013,Industry,1.0,4.0,
04,050,2013,Services,6.0,10.0,
04,051,2013,Agriculture,2.0,0.0,
04,051,2013,Industry,-8.0,1.0,
04,051,2013,Services,-1.0,2.0,
14,052,2013,Agriculture,-2.0,1.0,
14,052,2013,Industry,-2.0,0.0,
14,052,2013,Services,1.0,1.0,
21,060,2013,Agriculture,3.0,0.0,
21,060,2013,Industry,3.0,0.0,
21,060,2013,Services,1.0,1.0,
05,061,2013,Agriculture,0.0,0.0,
05,061,2013,Industry,0.0,0.0,
05,061,2013,Services,-32.0,11.0,
21,062,2013,Agriculture,0.0,1.0,
21,062,2013,Industry,-1.0,0.0,
21,062,2013,Services,1.0,0.0,
21,065,2013,Agriculture,0.0,0.0,
21,065,2013,Industry,0.0,0.0,
21,065,2013,Services,3.0,0.0,
17,069,2013,Agriculture,1.0,0.0,
17,069,2013,Industry,2.0,0.0,
17,069,2013,Services,11.0,3.0,
17,071,2013,Agriculture,1.0,0.0,
17,071,2013,Industry,-2.0,0.0,
17,071,2013,Services,-2.0,1.0,
17,072,2013,Agriculture,-1.0,0.0,
17,072,2013,Industry,2.0,0.0,
17,072,2013,Services,-2.0,1.0,
16,074,2013,Agriculture,1.0,0.0,
16,074,2013,Industry,0.0,0.0,
16,074,2013,Services,4.0,0.0,
08,075,2013,Agriculture,-4.0,2.0,
08,075,2013,Industry,5.0,2.0,
08,075,2013,Services,12.0,7.0,
21,076,2013,Agriculture,-1.0,0.0,
21,076,2013,Industry,1.0,0.0,
21,076,2013,Services,1.0,0.0,
13,077,2013,Agriculture,1.0,0.0,
13,077,2013,Industry,4.0,0.0,
13,077,2013,Services,-7.0,1.0,
01,078,2013,Agriculture,0.0,0.0,
01,078,2013,Industry,6.0,0.0,
01,078,2013,Services,-11.0,7.0,
04,079,2013,Agriculture,-1.0,0.0,
04,079,2013,Industry,-2.0,1.0,
04,079,2013,Services,-6.0,0.0,
07,081,2013,Agriculture,1.0,0.0,
07,081,2013,Industry,1.0,0.0,
07,081,2013,Services,-6.0,2.0,
05,082,2013,Agriculture,-1.0,0.0,
05,082,2013,Industry,-3.0,0.0,
05,082,2013,Services,8.0,5.0,
05,086,2013,Agriculture,0.0,0.0,
05,086,2013,Industry,7.0,1.0,
05,086,2013,Services,-1.0,8.0,
12,090,2013,Agriculture,4.0,0.0,
12,090,2013,Industry,1.0,0.0,
12,090,2013,Services,0.0,3.0,
01,091,2013,Agriculture,0.0,1.0,
01,091,2013,Industry,-62.0,32.0,
01,091,2013,Services,708.0,431.0,
01,092,2013,Agriculture,6.0,0.0,
01,092,2013,Industry,1.0,5.0,
01,092,2013,Services,145.0,107.0,
10,097,2013,Agriculture,1.0,0.0,
10,097,2013,Industry,-2.0,0.0,
10,097,2013,Services,-2.0,1.0,
07,098,2013,Agriculture,1.0,0.0,
07,098,2013,Industry,-6.0,1.0,
07,098,2013,Services,6.0,13.0,
04,102,2013,Agriculture,5.0,1.0,
04,102,2013,Industry,-6.0,1.0,
04,102,2013,Services,-12.0,4.0,
05,103,2013,Agriculture,1.0,0.0,
05,103,2013,Industry,0.0,0.0,
05,103,2013,Services,0.0,2.0,
18,105,2013,Agriculture,0.0,0.0,
18,105,2013,Industry,4.0,0.0,
18,105,2013,Services,4.0,1.0,
01,106,2013,Agriculture,3.0,0.0,
01,106,2013,Industry,-5.0,2.0,
01,106,2013,Services,2.0,32.0,
06,108,2013,Agriculture,2.0,0.0,
06,108,2013,Industry,1.0,1.0,
06,108,2013,Services,6.0,5.0,
05,109,2013,Agriculture,2.0,1.0,
05,109,2013,Industry,-3.0,3.0,
05,109,2013,Services,49.0,31.0,
07,111,2013,Agriculture,0.0,0.0,
07,111,2013,Industry,-9.0,2.0,
07,111,2013,Services,0.0,5.0,
17,139,2013,Agriculture,4.0,0.0,
17,139,2013,Industry,-7.0,0.0,
17,139,2013,Services,8.0,3.0,
11,140,2013,Agriculture,-2.0,0.0,
11,140,2013,Industry,-11.0,2.0,
11,140,2013,Services,5.0,8.0,
07,142,2013,Agriculture,-2.0,1.0,
07,142,2013,Industry,0.0,0.0,
07,142,2013,Services,-6.0,5.0,
