Region,Year,"Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), L Real estate activities",Municipality,GDP per capita (euro at current prices),Imports (euro),Exports (euro),"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro), T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)","Hours worked, domestic (1 000 000 h)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),Children aged 0 to 14 (PT),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",Employed (PT),F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),"Inhabitants, total (PT)",J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),Others (PT),P Education (TP),Pensioners (PT),Primary production (TP),Processing (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),Services (TP),Students (PT),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),Unemployed (PT),"Workplaces, total (TP)",X Industry unknown (TP),Unemployed jobseekers,Vacancies,Median of debt for all debts,Median of debt for consumption debts and other debts,Median of debt for debts charged on business activities and a source of income,Median of debt for housing loan debts,Median of debt for study loan debts,Mean of debt for all debts,Mean of debt for consumption debts and other debts,Mean of debt for debts charged on business activities and a source of income,Mean of debt for housing loan debts,Mean of debt for study loan debts,"Operating surplus, net","Mixed income, net","Wages and salaries received, income","Employer's social security contributions, income","Property income, (incl. holding gains and losses), income","Property income, expenditure",Net national income,"Social benefits other than social transfers in kind, income","Other current transfers, income","Income, property and other direct taxes excl. capital taxes, expenditure",Employer's social security contributions,"Other current transfers, expenditure","Disposable income, net","Academic degree, higher university level degree (population)","Academic degree, lowest level tertiary and lower university level degrees (population)","Aged 18 or over, total (population)",Basic level studies (population),Matriculation examination (population),Vocational diploma (population),"With education, total (population)",0 - 19 Rural (population),0 - 19 Total (population),0 - 19 Urban (population),20 - 24 Rural (population),20 - 24 Total (population),20 - 24 Urban (population),25 - 29 Rural (population),25 - 29 Total (population),25 - 29 Urban (population),30 - 34 Rural (population),30 - 34 Total (population),30 - 34 Urban (population),35 - 39 Rural (population),35 - 39 Total (population),35 - 39 Urban (population),40 - 44 Rural (population),40 - 44 Total (population),40 - 44 Urban (population),45 - 49 Rural (population),45 - 49 Total (population),45 - 49 Urban (population),50 - 54 Rural (population),50 - 54 Total (population),50 - 54 Urban (population),55 - 59 Rural (population),55 - 59 Total (population),55 - 59 Urban (population),60 - 64 Rural (population),60 - 64 Total (population),60 - 64 Urban (population),65 - 69 Rural (population),65 - 69 Total (population),65 - 69 Urban (population),70 - 74 Rural (population),70 - 74 Total (population),70 - 74 Urban (population),75- Rural (population),75- Total (population),75- Urban (population),Total Rural (population),Total (population),Total Urban (population)
01,2000,15598.9,964.9,4110.6,TOTAL,36270.1,,,255.5,40.8,2501.6,5985.4,3248.8,609.3,3475.9,2205.2,2677.2,1070.4,2374,1808.3,2503.3,1123.2,12.4,1251.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201,1080,18799,4676,4500,534,29720,5664,311,7232,6341,676,21447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2001,16651.9,1049.8,4309,TOTAL,38454.8,,,235.4,43.4,2766.6,6491.5,3325.1,736.1,4055.9,2341.5,2818.8,1202.1,2481.2,1906.9,2767.8,1154.7,7.7,1267.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256,1320,19686,5035,3355,608,30045,5879,325,7428,6746,734,21341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2002,15138.7,1145.8,4661.6,TOTAL,38552.7,,,246.1,39.1,2449.9,6530.9,3381.9,751.4,4565.4,2108.8,2828.2,1253.7,2506.5,1981.8,2977.4,1256.3,8.9,1283.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416,1377,20344,5100,3043,548,30730,6271,323,7514,6760,745,22305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2003,15059.6,1354.2,4864.7,TOTAL,38643.2,,,235.6,34.6,2567,6380.4,3269.9,767.4,4293.5,1982.5,2929.8,1366.6,2635.8,2043.4,3056,1299.9,11.4,1261.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095875,249368,1060055,1798794,5930,72939.88461538461,18748.653846153848,76650.80769230769,86677.23076923077,6245.346153846154,1452,1400,20723,5046,3352,466,31508,6583,322,7427,6687,745,23552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2004,15142.6,1343.7,4920.7,TOTAL,40312.2,,,233.9,42.8,2754.4,6842.6,3266.5,851.3,4858.8,2246,3105.6,1545.6,2852.3,2125.5,3181.5,1268.6,16.7,1261.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214049,273969,1094934,2034975,5885,81832.23076923077,20950.346153846152,82922.30769230769,97223.15384615384,6280.192307692308,1438,1576,21559,5234,3785,436,33156,6904,315,7692,6918,766,24999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2005,16235.7,1417.9,5283.1,TOTAL,41705,,,221.4,34.3,2926.1,6995.2,3437.1,891.1,4330.3,2525.2,3258.3,1705.4,2870.7,2276.7,3337.5,1474.7,16.9,1283.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412126,295234,1124317,2295876,5930,93132.61538,24454.346153846152,89958.46153846153,108871.5,6255.538461538462,1452,1816,22711,5524,3816,525,34793,7124,325,8134,7332,762,26015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2006,17569.9,1720,5538.2,TOTAL,43989.1,,,207.5,46.1,3063.1,7027.3,3363.3,946.9,4375.2,2741,3543.1,1877,3588.1,2320.3,3527.1,1636,17.5,1312.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569950,312923,1016016,2545708,6045,101449.23076923077,27703.26923076923,81622.92307692308,119443.42307692308,6307.923076923077,1564,1602,23893,5803,4233,713,36382,7340,362,8435,7875,822,26950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2007,19158.1,1788.2,5664.3,TOTAL,47355.2,,,236.6,32.2,3477.2,7910.3,3792.8,1052.1,4948,3256.6,3985,2053.4,3821.1,2426.6,3720.8,1699.9,17.1,1346.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676220,298517,1087362,2738758,6121,107646.57692307692,27976.26923076923,87517.34615384616,127989.80769230767,6308.384615384615,1502,1831,25310,6134,5792,1174,39396,7527,368,9051,8322,848,29069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2008,18870.2,1774.6,6328.6,TOTAL,48910.2,,,253.7,22.8,3590,8583.1,3661.7,1148.5,5092.6,2973,4334.6,2611.3,4180.6,2612,3906.9,1911,23.7,1383.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41777,11294,1695250,270676,1197822,2856550,6071,109173.76923076923,26781.115384615383,95642.76923076923,131964.11538461538,6312.961538461538,1755,1826,27065,6524,5136,1594,40712,7883,405,9430,8719,892,29959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2009,14534.3,2229.6,6592.7,TOTAL,46620.1,,,217.1,77.3,3510.4,7800.7,3108.9,1084.9,5069.1,3030.7,4088.6,2323.4,4417.3,2773.7,4285.2,1950.5,25.5,1319.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57263,7083,1783287,264978,1309812,2987302,6176,112624.34615384616,27514.23076923077,100734.07692307692,135699.8076923077,6398.961538461538,1878,2091,27006,6407,3385,286,40481,8575,390,8759,8650,900,31137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,2010,15811.8,2370.2,6673.3,TOTAL,47943.9,,,225.1,75.2,3561.6,7841.1,3447.4,1089.9,5200.9,2846.9,4242.7,2523,4781.2,2909.4,4390.3,2040.2,28.6,1312.408,3192,327,65439,227717,4276,2336,666292,39210,102012,47234,26213,1352414,47107,24671,7389,54362,27267,41014,54318,45046,250558,3192,111588,90206,15036,22093,549909,102151,23,236,51349,664728,7,60495,7830,1902749,257925,1355463,3065824,6289,116941.15384615384,28073.653846153848,104110.84615384616,138732.3076923077,6482.923076923077,1871,2117,27906,6289,3878,25,42036,9152,465,8526,8828,1065,33234,170085,268622,1192450,326127,131079,296512,866298,32519,348672,316153,5225,95391,90166,5674,110316,104642,7120,113484,106364,8303,102970,94667,9315,109135,99820,9851,111265,101414,9570,100540,90970,9599,96878,87279,10596,102176,91580,7545,71820,64275,5720,50864,45144,10694,89763,79069,131731,1503274,1371543
01,2011,14785.2,2207.8,7052.2,TOTAL,48614,,,201.9,65.5,3521.6,8706.4,3544,1136.1,5455.9,2974,4591.6,2542.9,3957.9,3025.6,4479.7,2168.3,31.8,1318.55,3062,247,64598,229572,4427,2433,675755,41838,102626,47534,26938,1367559,48799,24955,7518,56697,27798,40712,54483,46184,257004,3062,113543,91821,15483,22876,560193,100983,20,232,49739,676836,8,55729,10660,1919117,242966,1301276,3087663,6347,116862.46153846152,27700.42307692308,98862.57692307692,139120.23076923078,6345.692307692308,2060,1992,29145,6667,4499,387,43976,9664,593,9245,9308,1045,34636,175624,273653,1207731,323954,131535,302945,883757,32176,349623,317447,5085,97541,92456,5612,110585,104973,6990,114347,107357,8329,106117,97788,9200,106441,97241,9734,112696,102962,9453,101227,91774,9685,97391,87706,10290,99147,88857,8125,76699,68574,6092,55373,49281,10881,91988,81107,131652,1519175,1387523
01,2012,11156.4,1956.6,7260.5,TOTAL,48536.8,,,198,70.5,3865.8,9294.5,3570.8,1178.1,5703.1,3137.1,4886.2,2668.9,3991.2,3274,4897.1,2207.1,40.2,1349.557,3186,174,63248,231952,4362,2290,677658,42438,103505,47974,28192,1384069,49106,24520,7957,57732,28662,40878,54648,46791,262445,3186,112512,96146,16095,23546,571369,101850,24,241,55469,687102,11,57845,10939,2345138,358874,1394117,3110484,6454,127215.3846153846,35172.96153846154,102231.73076923077,139561.6923076923,6378.038461538462,2083,2120,30141,6915,3650,301,44609,10320,613,9567,9801,1081,35093,181894,278338,1224564,322619,131229,310440,901901,31912,350463,318551,5243,100341,95098,5392,110084,104692,6996,116341,109345,8429,109966,101537,8871,103578,94707,9787,113947,104160,9357,102992,93635,9611,97265,87654,10058,96775,86717,8976,85280,76304,6040,55328,49288,11045,94706,83661,131717,1537066,1405349
