Region,Year,"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), C Manufacturing (10-33)","Gross value added (millions of euro), D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), L Real estate activities","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
01,2000,255.5,40.8,15598.9,964.9,2501.6,5985.4,3248.8,609.3,3475.9,2205.2,4110.6,2677.2,1070.4,2374,1808.3,2503.3,1123.2,12.4
01,2001,235.4,43.4,16651.9,1049.8,2766.6,6491.5,3325.1,736.1,4055.9,2341.5,4309,2818.8,1202.1,2481.2,1906.9,2767.8,1154.7,7.7
01,2002,246.1,39.1,15138.7,1145.8,2449.9,6530.9,3381.9,751.4,4565.4,2108.8,4661.6,2828.2,1253.7,2506.5,1981.8,2977.4,1256.3,8.9
01,2003,235.6,34.6,15059.6,1354.2,2567,6380.4,3269.9,767.4,4293.5,1982.5,4864.7,2929.8,1366.6,2635.8,2043.4,3056,1299.9,11.4
01,2004,233.9,42.8,15142.6,1343.7,2754.4,6842.6,3266.5,851.3,4858.8,2246,4920.7,3105.6,1545.6,2852.3,2125.5,3181.5,1268.6,16.7
01,2005,221.4,34.3,16235.7,1417.9,2926.1,6995.2,3437.1,891.1,4330.3,2525.2,5283.1,3258.3,1705.4,2870.7,2276.7,3337.5,1474.7,16.9
01,2006,207.5,46.1,17569.9,1720,3063.1,7027.3,3363.3,946.9,4375.2,2741,5538.2,3543.1,1877,3588.1,2320.3,3527.1,1636,17.5
01,2007,236.6,32.2,19158.1,1788.2,3477.2,7910.3,3792.8,1052.1,4948,3256.6,5664.3,3985,2053.4,3821.1,2426.6,3720.8,1699.9,17.1
01,2008,253.7,22.8,18870.2,1774.6,3590,8583.1,3661.7,1148.5,5092.6,2973,6328.6,4334.6,2611.3,4180.6,2612,3906.9,1911,23.7
01,2009,217.1,77.3,14534.3,2229.6,3510.4,7800.7,3108.9,1084.9,5069.1,3030.7,6592.7,4088.6,2323.4,4417.3,2773.7,4285.2,1950.5,25.5
01,2010,225.1,75.2,15811.8,2370.2,3561.6,7841.1,3447.4,1089.9,5200.9,2846.9,6673.3,4242.7,2523,4781.2,2909.4,4390.3,2040.2,28.6
01,2011,201.9,65.5,14785.2,2207.8,3521.6,8706.4,3544,1136.1,5455.9,2974,7052.2,4591.6,2542.9,3957.9,3025.6,4479.7,2168.3,31.8
01,2012,198,70.5,11156.4,1956.6,3865.8,9294.5,3570.8,1178.1,5703.1,3137.1,7260.5,4886.2,2668.9,3991.2,3274,4897.1,2207.1,40.2
01,2013,199.5,48.4,13413,1875.4,3924.9,9242.9,3709.4,1039.9,6005.4,3056.5,7505.5,4836.7,2747.2,4251.5,3307.8,5022.9,2286.8,46
01,2014,210.9,64.4,14165.7,2235.6,3713.6,8223.4,3707.7,1094.9,6457.9,3561,7860.3,4833.4,2742,3923.9,3454.4,5041.3,2285.6,55.8
01,2015,217.5,7.7,15675.9,2091,3993.3,8411.8,3745.8,1160.8,6835.1,3535.4,8322,4952,2863.6,4107.7,3666.6,5283.8,2329.5,57.2
01,2016,219.8,47,15052.8,2250.4,4547.2,8250.4,3734.9,1220.7,7101,3910.6,8530.5,5048.4,3201.1,4159.3,3462.2,5414.6,2406.4,64.6
01,2017,214.5,70,17187,2300.8,4877.4,8617.2,3912.4,1334.6,7408.4,4035.8,8873.6,5282.7,3502.8,3851.6,3459.7,5453.5,2416.2,65.4
01,2018,234.3,70.7,15707.5,2491.9,5306.2,8723.5,3957,1431.5,7605.5,4230.2,9677,5614.7,3817.1,4005.8,3540.7,5623,2574.7,73.5
01,2019,244.7,50.6,16927.2,2726.2,5513.9,8751.4,4194.8,1523.3,8041.6,3797.1,10053.9,5659.8,4255.7,4185.6,3745,5895.5,2998.3,76.8
01,2020,231.6,51,17002,2792.9,5817.5,9233.4,2684.9,856.8,8344.9,3853.5,10116,5935.6,3786.5,4337,3787.1,6128.8,2814.1,77.5
01,2021,244.2,30,16853.4,3061.4,5554.5,9553.2,2884.8,844.9,9226.1,4446.4,10931.6,6357.2,3861.1,4398,3950.8,6591.8,2918.8,83.7
01,2022,270.3,25,21942.5,3531.8,5605.8,9552.8,3764.5,1289.4,8829,4958,9328.1,6638.9,4071.4,4603,4117.3,6960.2,3126,92.2
01,2023,284.8,,,,,,,,,,,,,,,,,
02,2000,364.3,25.4,,,725.8,675.5,570.7,135.7,268.4,297.3,,307.1,224.1,447.1,517.3,774.7,200.4,4.9
02,2001,348.7,28.7,,,737.1,767.2,690.9,155.8,347.1,326.3,,339.5,205.4,477,559.2,848.8,223.5,5.1
02,2002,358.2,26.9,6858.2,247.3,767.4,808.1,695.8,154.8,401.2,281,1057.3,354.7,236.1,572.9,589.9,883.8,228.7,5.4
02,2003,348.1,27.3,6097.3,265.7,694.5,843.4,727.4,170,353.2,246.7,1140.7,369.7,255.4,559.2,620.3,945.9,243,6.7
02,2004,342.9,29.3,6541.3,286.7,741.4,914.7,699.5,185.5,393.5,258.3,1248.6,387.6,248.3,563.1,656.2,1003.9,264.4,8.6
02,2005,327.6,30.3,6805.2,301.6,843.5,884.5,631.8,184.5,374.2,272.5,1244.9,425.7,318.1,588.5,690.4,1060.8,260.4,9.2
02,2006,234.4,31.2,7077.6,345.7,954.1,1026,694.8,195.1,411.7,292.6,1276.5,462.9,370.5,544.2,708.4,1137,281.1,9.4
02,2007,321.6,46.1,8378.3,340.2,1033.6,1065,741.3,213.1,441.7,322.8,1354.9,523.9,415.2,572.3,739,1211.5,282.4,9.8
