Year,Region,Flow,Cumulative statistical value (euro) from the beginning of the year
202412,1 Uusimaa,Imports by countries of origin,42750000000
202412,1 Uusimaa,Exports by countries of destination,22418000000
202412,2 Varsinais-Suomi,Imports by countries of origin,4737000000
202412,2 Varsinais-Suomi,Exports by countries of destination,6718000000
202412,3 Satakunta,Imports by countries of origin,3332000000
202412,3 Satakunta,Exports by countries of destination,5926000000
202412,4 Kanta-Häme,Imports by countries of origin,1175000000
202412,5 Kanta-Häme,Exports by countries of destination,1832000000
202412,5 Pirkanmaa,Imports by countries of origin,4204000000
202412,5 Pirkanmaa,Exports by countries of destination,6540000000
202412,6 Päijät-Häme,Imports by countries of origin,1121000000
202412,7 Päijät-Häme,Exports by countries of destination,2210000000
202412,7 Kymenlaakso,Imports by countries of origin,1371000000
202412,7 Kymenlaakso,Exports by countries of destination,2736000000
202412,8 Etelä-Karjala,Imports by countries of origin,378000000
202412,8 Etelä-Karjala,Exports by countries of destination,2271000000
202412,9 Etelä-Savo,Imports by countries of origin,310000000
202412,9 Etelä-Savo,Exports by countries of destination,605000000
202412,10 Pohjois-Savo,Imports by countries of origin,525000000
202412,10 Pohjois-Savo,Exports by countries of destination,1755000000
202412,11 Pohjois-Karjala,Imports by countries of origin,404000000
202412,11 Pohjois-Karjala,Exports by countries of destination,975000000
202412,12 Keski-Suomi,Imports by countries of origin,1209000000
202412,12 Keski-Suomi,Exports by countries of destination,2835000000
202412,13 Etelä-Pohjanmaa,Imports by countries of origin,816000000
202412,13 Etelä-Pohjanmaa,Exports by countries of destination,782000000
202412,14 Pohjanmaa,Imports by countries of origin,2013000000
202412,14 Pohjanmaa,Exports by countries of destination,4526000000
202412,15 Keski-Pohjanmaa,Imports by countries of origin,1729000000
202412,15 Keski-Pohjanmaa,Exports by countries of destination,2489000000
202412,16 Pohjois-Pohjanmaa,Imports by countries of origin,2261000000
202412,16 Pohjois-Pohjanmaa,Exports by countries of destination,2137000000
202412,17 Kainuu,Imports by countries of origin,109000000
202412,17 Kainuu,Exports by countries of destination,558000000
202412,18 Lappi,Imports by countries of origin,2230000000
202412,18 Lappi,Exports by countries of destination,4065000000
202412,19 Ahvenanmaa,Imports by countries of origin,284000000
202412,19 Ahvenanmaa,Exports by countries of destination,122000000
202412,20 Unknown,Imports by countries of origin,3599000000
202412,20 Unknown,Exports by countries of destination,606000000
202412,21 Total,Imports by countries of origin,74557000000
202412,21 Total,Exports by countries of destination,72104000000
202312,1 Uusimaa,Imports by countries of origin,45234000000
202312,1 Uusimaa,Exports by countries of destination,25849000000
202312,2 Varsinais-Suomi,Imports by countries of origin,4900000000
202312,2 Varsinais-Suomi,Exports by countries of destination,6987000000
202312,3 Satakunta,Imports by countries of origin,2629000000
202312,3 Satakunta,Exports by countries of destination,4152000000
202312,4 Kanta-Häme,Imports by countries of origin,1094000000
202312,4 Kanta-Häme,Exports by countries of destination,1791000000
202312,5 Pirkanmaa,Imports by countries of origin,4227000000
202312,5 Pirkanmaa,Exports by countries of destination,8825000000
202312,6 Päijät-Häme,Imports by countries of origin,1214000000
202312,6 Päijät-Häme,Exports by countries of destination,2144000000
202312,7 Kymenlaakso,Imports by countries of origin,1069000000
202312,7 Kymenlaakso,Exports by countries of destination,1986000000
202312,8 Etelä-Karjala,Imports by countries of origin,454000000
202312,8 Etelä-Karjala,Exports by countries of destination,1822000000
202312,9 Etelä-Savo,Imports by countries of origin,325000000
202312,9 Etelä-Savo,Exports by countries of destination,497000000
202312,10 Pohjois-Savo,Imports by countries of origin,613000000
202312,10 Pohjois-Savo,Exports by countries of destination,1898000000
202312,11 Pohjois-Karjala,Imports by countries of origin,429000000
202312,11 Pohjois-Karjala,Exports by countries of destination,993000000
202312,12 Keski-Suomi,Imports by countries of origin,1305000000
202312,12 Keski-Suomi,Exports by countries of destination,2769000000
202312,13 Etelä-Pohjanmaa,Imports by countries of origin,873000000
202312,13 Etelä-Pohjanmaa,Exports by countries of destination,839000000
202312,14 Pohjanmaa,Imports by countries of origin,2017000000
202312,14 Pohjanmaa,Exports by countries of destination,3718000000
202312,15 Keski-Pohjanmaa,Imports by countries of origin,2340000000
202312,15 Keski-Pohjanmaa,Exports by countries of destination,3478000000
202312,16 Pohjois-Pohjanmaa,Imports by countries of origin,2163000000
202312,16 Pohjois-Pohjanmaa,Exports by countries of destination,2167000000
202312,17 Kainuu,Imports by countries of origin,121000000
202312,17 Kainuu,Exports by countries of destination,383000000
202312,18 Lappi,Imports by countries of origin,2512000000
202312,18 Lappi,Exports by countries of destination,4627000000
202312,19 Ahvenanmaa,Imports by countries of origin,375000000
202312,19 Ahvenanmaa,Exports by countries of destination,184000000
202312,20 Unknown,Imports by countries of origin,2955000000
202312,20 Unknown,Exports by countries of destination,1251000000
202312,21 Total,Imports by countries of origin,76849000000
202312,21 Total,Exports by countries of destination,76362000000
202212,1 Uusimaa,Imports by countries of origin,52476000000
202212,1 Uusimaa,Exports by countries of destination,23877000000
202212,2 Varsinais-Suomi,Imports by countries of origin,5798000000
202212,2 Varsinais-Suomi,Exports by countries of destination,8734000000
202212,3 Satakunta,Imports by countries of origin,2963000000
202212,3 Satakunta,Exports by countries of destination,6587000000
202212,4 Kanta-Häme,Imports by countries of origin,1096000000
202212,4 Kanta-Häme,Exports by countries of destination,1913000000
202212,5 Pirkanmaa,Imports by countries of origin,4760000000
202212,5 Pirkanmaa,Exports by countries of destination,6985000000
202212,6 Päijät-Häme,Imports by countries of origin,1382000000
202212,6 Päijät-Häme,Exports by countries of destination,2378000000
202212,7 Kymenlaakso,Imports by countries of origin,1111000000
202212,7 Kymenlaakso,Exports by countries of destination,3310000000
202212,8 Etelä-Karjala,Imports by countries of origin,517000000
202212,8 Etelä-Karjala,Exports by countries of destination,2985000000
202212,9 Etelä-Savo,Imports by countries of origin,316000000
202212,9 Etelä-Savo,Exports by countries of destination,516000000
202212,10 Pohjois-Savo,Imports by countries of origin,655000000
202212,10 Pohjois-Savo,Exports by countries of destination,2157000000
202212,11 Pohjois-Karjala,Imports by countries of origin,443000000
202212,11 Pohjois-Karjala,Exports by countries of destination,1207000000
202212,12 Keski-Suomi,Imports by countries of origin,1233000000
202212,12 Keski-Suomi,Exports by countries of destination,2996000000
202212,13 Etelä-Pohjanmaa,Imports by countries of origin,942000000
202212,13 Etelä-Pohjanmaa,Exports by countries of destination,843000000
202212,14 Pohjanmaa,Imports by countries of origin,2300000000
202212,14 Pohjanmaa,Exports by countries of destination,3917000000
202212,15 Keski-Pohjanmaa,Imports by countries of origin,3554000000
202212,15 Keski-Pohjanmaa,Exports by countries of destination,2862000000
202212,16 Pohjois-Pohjanmaa,Imports by countries of origin,2785000000
202212,16 Pohjois-Pohjanmaa,Exports by countries of destination,2463000000
202212,17 Kainuu,Imports by countries of origin,110000000
202212,17 Kainuu,Exports by countries of destination,814000000
202212,18 Lappi,Imports by countries of origin,2996000000
202212,18 Lappi,Exports by countries of destination,5127000000
202212,19 Ahvenanmaa,Imports by countries of origin,1098000000
202212,19 Ahvenanmaa,Exports by countries of destination,163000000
202212,20 Unknown,Imports by countries of origin,5936000000
202212,20 Unknown,Exports by countries of destination,2051000000
202212,21 Total,Imports by countries of origin,92469000000
202212,21 Total,Exports by countries of destination,81885000000
202112,1 Uusimaa,Imports by countries of origin,40962000000
202112,1 Uusimaa,Exports by countries of destination,19341000000
202112,2 Varsinais-Suomi,Imports by countries of origin,5771000000
202112,2 Varsinais-Suomi,Exports by countries of destination,8039000000
202112,3 Satakunta,Imports by countries of origin,2281000000
202112,3 Satakunta,Exports by countries of destination,4859000000
202112,4 Kanta-Häme,Imports by countries of origin,1131000000
202112,4 Kanta-Häme,Exports by countries of destination,1829000000
202112,5 Pirkanmaa,Imports by countries of origin,4303000000
202112,5 Pirkanmaa,Exports by countries of destination,5927000000
202112,6 Päijät-Häme,Imports by countries of origin,1218000000
202112,6 Päijät-Häme,Exports by countries of destination,2054000000
202112,7 Kymenlaakso,Imports by countries of origin,1007000000
202112,7 Kymenlaakso,Exports by countries of destination,3181000000
202112,8 Etelä-Karjala,Imports by countries of origin,523000000
202112,8 Etelä-Karjala,Exports by countries of destination,2583000000
202112,9 Etelä-Savo,Imports by countries of origin,311000000
202112,9 Etelä-Savo,Exports by countries of destination,478000000
202112,10 Pohjois-Savo,Imports by countries of origin,641000000
202112,10 Pohjois-Savo,Exports by countries of destination,1925000000
202112,11 Pohjois-Karjala,Imports by countries of origin,445000000
202112,11 Pohjois-Karjala,Exports by countries of destination,1029000000
202112,12 Keski-Suomi,Imports by countries of origin,1281000000
202112,12 Keski-Suomi,Exports by countries of destination,2850000000
202112,13 Etelä-Pohjanmaa,Imports by countries of origin,821000000
202112,13 Etelä-Pohjanmaa,Exports by countries of destination,773000000
202112,14 Pohjanmaa,Imports by countries of origin,1938000000
202112,14 Pohjanmaa,Exports by countries of destination,3656000000
202112,15 Keski-Pohjanmaa,Imports by countries of origin,2926000000
202112,15 Keski-Pohjanmaa,Exports by countries of destination,2373000000
202112,16 Pohjois-Pohjanmaa,Imports by countries of origin,2361000000
202112,16 Pohjois-Pohjanmaa,Exports by countries of destination,2195000000
202112,17 Kainuu,Imports by countries of origin,94000000
202112,17 Kainuu,Exports by countries of destination,520000000
202112,18 Lappi,Imports by countries of origin,2409000000
