Region,Name,Description
21,Åland,"Åland's economy relies heavily on shipping, where shipping makes up 40% of the economy. This is due to Åland being an archipelago, which is why maritime transportation is profitable. Åland has the second biggest tourism industry in Finland.  The second most significant industry sector in the Åland's economy is the metal and wood industry, which are major exports. Since 2015, Åland has had a yearly average 4.9% increase in GDP until 2022. Exports have increased from 5.388m to 8.188m from 2015 to 2022 with the highest trade sector correlation between exports and public administration and defense. Åland has a medium population percentage of tertiary level qualifications compared to the national median with 6.8% of the population having a tertiary level degree in 2022, an improvement from the 4.2% observed in 2015."
19,Lapland,"Lapland is a major tourist attraction, therefore, its economy is very largely supported by tourism. A significant sector in the Lapland economy is industry, particularly metal and wood, which are major exports.  Since 2015 Lapland has had a  yearly average 4.9% increase in GDP until 2022. Exports have increased from 1.03m to 1.63m from 2015 to 2022 with the highest trade sector correlation between exports and wholesale and retail sales as well as manufacturing. Due to urbanization, there is a general trend of migration away from Lapland and to bigger cities. Lapland has a lower population percentage with tertiary level qualifications than the national median with 6.6% of the population having a tertiary level degree in 2022, an improvement from the 5% observed in 2015."
18,Kainuu,"Kainuu's economy is principally reliant on forestry and Mining. Since 2015, Kainuu has had a yearly average 8.65% increase in GDP until 2022. Exports have increased from 3.875m to 5.127m from 2015 to 2022 with the highest trade sector correlation between exports and public administration and defense. Due to urbanization, there is a general trend of migration away from Kainuu and to bigger cities. Kainuu has a lower population percentage tertiary level qualifications than the national median with 5.6% of the population having a tertiary level degree in 2022, an improvement from the 4.5% observed in 2015."
17,North Ostrobothnia,"North Ostrobothnia's economy is very diverse, including areas such as IT, renewable energy, and traditional industries such as wood processing or steel production. Since 2015 North Ostrobothnia has a yearly  average 5% increase in GDP until 2022. Exports have increased from 1.45m to 8.14m from 2015 to 2022 with the highest trade sector correlation between exports and transportation and storage. North Ostrobothnia has a higher population percentage of tertiary level qualifications compared with the national median with 8.7% of the population having a tertiary level degree in 2022, an improvement from the 7% observed in 2015."
16,Central Ostrobothnia,"Central Ostrobothnia's economy is based on agriculture, fishing, and manufacturing. Since 2015 Central Ostrobothnia has had a Yearly average 2.1% increase in GDP until 2022. Exports have increased from 1.396m to 2.463m from 2015 to 2022 with the highest trade sector correlation between exports and construction. Central Ostrobothnia has a population percentage of tertiary level qualifications lower than the national median with 5.7% of the population having a tertiary level degree in 2022, an improvement from the 4.4% observed in 2015."
15,Ostrobothnia,"The heart of Ostrobothnia's economy is Energy production, with the highest energy system concentration in Finland, as well as the top region exporter per capita. There is also a significant engineering and manufacturing industry in Ostrobothnia. Since 2015 Ostrobothnia has had a 2.74% increase in GDP until 2022. Exports have increased from 1.729m to 2.862m from 2015 to 2022 with the highest trade sector correlation between exports and financial and insurance activities. Ostrobothnia has a higher population percentage of tertiary level qualifications than the national median with 9% of the population having a tertiary level degree in 2022, an improvement from the 6.7% observed in 2015.  Due to urbanization, there is a general trend of migration away from Ostrobothnia and to bigger cities, because of that 29.7% of the population of Ostrobothnia is made up of pensioners."
14,South Ostrobothnia,"South Ostrobothnia's economy is very reliant on the food industry, as well as the wood and metal industry. Since 2015 South Ostrobothnia has had an average yearly 4% increase in GDP until 2022. Exports have increased from 3.129m to 3.917m from 2015 to 2022 with the highest trade sector correlation between exports and Administrative and support services. South Ostrobothnia has a lower population percentage of tertiary level qualifications than the national median with 5.1% of the population having a tertiary level degree in 2022, an improvement from the 4% observed in 2015. Due to urbanization, there is a general trend of migration away from South Ostrobothnia and to bigger cities, because of that 32.4% of the population of South Ostrobothnia is made up of pensioners."
13,Central Finland,"Central Finland's economy is reliant on forestry and production, mainly due to its location in the middle of Finland. Since 2015 Central Finland has had an average yearly 4% increase in GDP until 2022. Exports have increased from 5.53m to 8.43m from 2015 to 2022 with the highest trade sector correlation between exports and Financial and insurance activities. Lapland shares high sector correlation in terms of exports with Central Finland. Central Finland has a population percentage of tertiary level qualifications lower than the national median with 9% of the population having a tertiary level degree in 2022, an improvement from the 7.2% observed in 2015.  Due to urbanization, there is a general trend of migration away from Central Finland and to bigger cities, because of that 29.8% of the population of Central Finland is made up of pensioners."
12,North Karelia,"North Karelia's economy is overwhelmingly dominated by manufacturing and refining. This distribution is caused by the strong regional education and research sectors. Since 2015 North Karelia has had an average yearly 4.1% increase in GDP. Exports have increased from 2.135m to 2.996m from 2015 to 2022 with the highest trade sector correlation between exports and Public administration and defense. Satakunta shares high sector similarities in terms of exports with North Karelia. North Karelia has a lower population percentage of tertiary level qualifications than the national median.  North Karelia has a lower population percentage with tertiary level qualifications near to the national median with 7.3% of the population having a tertiary level degree in 2022, an improvement from the 5.7% observed in 2015. Due to urbanization, there is a general trend of migration away from Central Finland and to bigger cities, because of that 29.1% of the population of Central Finland is made up of pensioners."
11,North Savo,"North Savo's economy is primarily supported by energy production, secondarily by wood and metal production as well as food production similar to South Savo. Since 2015 North Savo has had a yearly average 4.9% increase in GDP until 2022. Exports have decreased from 7.660m to 1.207m from 2015 to 2022 with the highest trade sector correlation between exports and Public administration and defense. South Savo has a medium population percentage of tertiary level qualifications compared to the national median with 7.6% of the population having a tertiary level degree in 2022, an improvement from the 5.9% observed in 2015. 26% of North Savo is made up of pensioners."
10,South Savo,"South Savo is more rural and resource reliant than other regions, relying mainly on forestry and food production. Since 2015 South Savo has had a yearly average 4.1% increase in gdp until 2022. Exports have increased from  1.135m to 2.15m from 2015 to 2022 with the highest trade sector correlation between exports and Public administration and defense. Due to urbanization, there is a general trend of migration away from here and to bigger cities. 28% of South Savo is made up of pensioners. South Savo has a  population percentage of tertiary level qualifications lower than the national median with 6.1% of the population having a tertiary level degree in 2022, an improvement from the 4.8% observed in 2015."
09,South Karelia,"South Karelia heavily punches above it's weight in forestry and bioeconomy, with tourism also being a significant industry. The reason for such being that South Karelia is a rural region. South Karelia has had a Yearly 2.7% increase in gdp until 2022.  Exports have increased from 3.87m to 5.16m from 2015 to 2022 with the highest trade sector correlation between exports and human health and social work activities. South Karelia has a lower population percentage of tertiary level qualifications near to the national median with 7.3% of the population having a tertiary level degree in 2022, an improvement from the 5.8% observed in 2015. 8.7% of South Karelia is made up of pensioners."
08,Kymenlaakso,"Kymenlaakso's economy is currently based on forestry and transport. The transport industry is profitable due to high demand for transporting forestry products. Kymenlaakso has had a yearly average 3.8% increase in GDP until 2022.  Exports have increased from  1.277m to 2.985m from 2015 to 2022 with the highest trade sector correlation between exports and Manufacturing. Due to urbanization, there is a general trend of migration away from here and to bigger cities. 17.5% of Kymenlaakso is made up of pensioners. Kymenlaakso has a lower population percentage of tertiary level qualifications than the national median with 5.7% of the population having a tertiary level degree in 2022, an improvement from the 4.5% observed in 2015."
