Region,"Gross value added (millions of euro), A Agriculture, forestry and fishing_to_GDP_ratio_mean","Gross value added (millions of euro), A Agriculture, forestry and fishing_to_GDP_ratio_var","Gross value added (millions of euro), B Mining and quarrying_to_GDP_ratio_mean","Gross value added (millions of euro), B Mining and quarrying_to_GDP_ratio_var","Gross value added (millions of euro), F Construction_to_GDP_ratio_mean","Gross value added (millions of euro), F Construction_to_GDP_ratio_var","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles_to_GDP_ratio_mean","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles_to_GDP_ratio_var","Gross value added (millions of euro), H Transportation and storage_to_GDP_ratio_mean","Gross value added (millions of euro), H Transportation and storage_to_GDP_ratio_var","Gross value added (millions of euro), I Accommodation and food service activities_to_GDP_ratio_mean","Gross value added (millions of euro), I Accommodation and food service activities_to_GDP_ratio_var","Gross value added (millions of euro), J Information and communication_to_GDP_ratio_mean","Gross value added (millions of euro), J Information and communication_to_GDP_ratio_var","Gross value added (millions of euro), K Financial and insurance activities_to_GDP_ratio_mean","Gross value added (millions of euro), K Financial and insurance activities_to_GDP_ratio_var","Gross value added (millions of euro), M Professional, scientific and technical activities_to_GDP_ratio_mean","Gross value added (millions of euro), M Professional, scientific and technical activities_to_GDP_ratio_var","Gross value added (millions of euro), N Administrative and support service activities_to_GDP_ratio_mean","Gross value added (millions of euro), N Administrative and support service activities_to_GDP_ratio_var","Gross value added (millions of euro), O Public administration and defence; compulsory social security_to_GDP_ratio_mean","Gross value added (millions of euro), O Public administration and defence; compulsory social security_to_GDP_ratio_var","Gross value added (millions of euro), P Education_to_GDP_ratio_mean","Gross value added (millions of euro), P Education_to_GDP_ratio_var","Gross value added (millions of euro), Q Human health and social work activities_to_GDP_ratio_mean","Gross value added (millions of euro), Q Human health and social work activities_to_GDP_ratio_var","Gross value added (millions of euro), R, S Other service activities_to_GDP_ratio_mean","Gross value added (millions of euro), R, S Other service activities_to_GDP_ratio_var","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use_to_GDP_ratio_mean","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use_to_GDP_ratio_var"
1,0.002647338591396628,2.6870353709756635e-08,0.0006318766850556161,8.235349236585731e-08,0.05376393859271094,2.2692285068321097e-05,0.1044954493750834,0.00010675989270324505,0.04298872369987424,4.6216691449417626e-05,0.01389312704702059,5.845729945403895e-06,0.08293011039048566,4.077970630670781e-05,0.04358975850565848,1.0185970800426238e-05,0.06228879815986359,4.2868334533144e-06,0.0382726965475949,1.1323074666133327e-05,0.04993853330182761,3.937586532052562e-05,0.04149035436609145,3.760453943038766e-06,0.06432080801941863,5.342754788255429e-06,0.029435866616250497,1.119257036817961e-06,0.00070251915515214,2.6615440787031094e-08
2,0.02000715169515333,3.158473417056483e-06,0.0015509034042009186,7.236695138171263e-08,0.06357960238630486,1.1542490108834892e-05,0.07196579168219422,9.104368016996209e-06,0.04119972426400969,1.1411838917524142e-05,0.0142696414362591,1.4195963379133703e-06,0.025598532619957853,3.8809749038531205e-06,0.024667761885021504,1.1739409842632085e-05,0.03997115663216381,6.381744432046329e-06,0.03013127666669844,2.7198057082094502e-06,0.03917427993615574,5.554260956366219e-05,0.05170081594998556,7.703784304459839e-06,0.10101517276923357,1.4008877705313493e-05,0.02179417923512828,4.8680137398873346e-06,0.0011664447515577154,1.0040384694468609e-07
4,0.02804804714675852,2.6015011988037974e-05,0.002707628222959928,2.8229219808723963e-07,0.061812432151766086,2.401127428308933e-05,0.05851388185506856,1.5850592181629354e-06,0.04588803835667231,2.5524185089500335e-05,0.010796177051301129,9.499219056725727e-07,0.015454716732185264,8.43937405627183e-06,0.012436183401446612,1.3948833699831925e-06,0.025495869679929093,5.3003031007386844e-06,0.025680152657869045,4.428241477674645e-06,0.054685840786988786,1.7699132078010676e-05,0.04368927592361006,2.7512624805370155e-05,0.09279196482264339,1.949569454083673e-05,0.0209875732530409,5.0727709231024635e-06,0.001338058095832161,2.1090843580422045e-07
5,0.0280735801275549,8.376949977546965e-06,0.001956249520005442,1.1058993467619396e-06,0.060104937405198705,1.915985237965596e-05,0.08183173355866274,1.6684193196351198e-05,0.02941296088566139,1.13868659237843e-05,0.013715099916032666,3.0496455997949513e-06,0.017502203315495526,6.478228546510066e-06,0.0160476916196424,2.4141091876802956e-06,0.03647289772401983,2.200766289429602e-05,0.02487053798623772,1.7209895265449218e-05,0.07006922385763012,4.1600038035705175e-05,0.04770432334695095,7.751342771353171e-05,0.09463364536139264,1.2711395925723692e-05,0.026842627950546667,7.786171498944774e-07,0.0013542798180506627,4.495478443084372e-08
6,0.019543153027683287,6.835508854716865e-06,0.0012798762748488933,1.4058659032139202e-07,0.05919437909413039,1.3901180782782549e-05,0.06827679457792415,1.1518418836275563e-05,0.03202370694642791,2.3662381616049396e-06,0.0140981011798148,1.983692813156474e-06,0.04956422171966435,2.990544673713694e-05,0.01949020008863887,1.358516760748333e-05,0.040832030100167054,2.4058115445540682e-05,0.03190531365912592,4.474107932615694e-06,0.03768182993961353,4.411148386737474e-06,0.05208364905886612,1.2478127252378973e-05,0.09712959667684483,1.5183418439018124e-05,0.023500859439969417,1.3429155653392571e-06,0.0010002020531593352,5.373749004231057e-08
7,0.029542256168896493,1.5844820843146222e-06,0.0006563772496198945,9.983745380714292e-08,0.06941419975520238,2.9455958597246427e-05,0.08119835768807837,1.2617132500402871e-05,0.032491887520063725,6.796729978643393e-06,0.015062079873262586,7.420482404958204e-07,0.026249366226867483,3.968108216111278e-06,0.01397284228860838,2.555972632259192e-06,0.02770521491389621,7.220885969662016e-06,0.03178807522127156,9.589101771660991e-06,0.0348154884054943,3.0606153327254835e-05,0.0439231068246407,5.2201175058083356e-05,0.09858500990272957,2.823547860293019e-05,0.024541283019735245,3.2196915578995727e-06,0.0010128540562246596,4.498964732734883e-08
8,0.021056788186838704,4.374446919806974e-06,0.002125324330636379,7.464492512222866e-07,0.05515438023431491,2.8775954441186493e-05,0.05957748623060859,2.3285148804480783e-05,0.08180397032300965,7.288986197788084e-05,0.012635568357968838,1.3563313682474654e-06,0.046195680631817185,0.0005147663944446933,0.00963947325201823,4.969684064948833e-06,0.027938523036020513,2.2977675876384385e-06,0.02541561748045599,1.5821690922037216e-06,0.07670167218785491,2.178226446289986e-05,0.03824500794450855,5.023139782491314e-05,0.09397456417152247,1.4582040533564825e-05,0.02095504628587276,7.77243645619885e-06,0.0005577018121411229,1.8228465413603388e-08
9,0.032493842300674376,7.828651067254722e-06,0.0024747050429474683,1.450768155001177e-06,0.05339802234626613,1.1632224589600877e-05,0.06657769267097689,7.063383840334783e-05,0.04099663130680712,5.301806903602541e-05,0.015265012835107684,2.697940125244676e-06,0.019730269280504736,3.130884038545043e-06,0.010613972767143737,1.200977587677224e-06,0.021724438347170773,1.0527466490590298e-05,0.022694138243665642,2.363331965789003e-06,0.06101337999657967,0.0001016296922769918,0.049633392657437894,2.0082113646077265e-06,0.0895751749100501,3.8292970820320895e-05,0.020957759166192434,9.681074529668992e-06,0.0009411861925116521,7.126485563408746e-08
10,0.09428162353059186,2.4729091103910453e-05,0.0012285897563801354,1.385819065952477e-07,0.05879317259956465,3.091080870886862e-05,0.0634217243833083,1.3586714097251601e-05,0.034917050466696624,1.1839889608896204e-05,0.015801989356297067,3.814940491060959e-06,0.013773349555876916,2.097885925957757e-06,0.012423589664419756,3.2696126520291076e-06,0.030073090146393793,6.379216956197664e-06,0.01801832512908188,5.800755544894435e-06,0.05120639584279891,1.8967590953285316e-05,0.05006348454948343,3.092214356621453e-05,0.1276649686581659,2.5194361548468803e-05,0.026064458480000496,1.820405261722377e-05,0.002579153882605704,1.4417570809519632e-07
11,0.05115328285406126,7.288503589034825e-06,0.00509570541310501,7.069130273774423e-06,0.06583147280398513,6.86818477175372e-06,0.06550653896120162,1.1302254775899828e-05,0.03590722073006761,8.052729147985905e-06,0.012607002887286146,2.7912788782684596e-06,0.020455902141289083,2.1387359899046184e-06,0.021220017966670765,8.090392957059291e-06,0.0398573714543743,3.3024885876646366e-05,0.027008469636081653,3.273027468183899e-06,0.04908085936701721,7.416372265675268e-05,0.05843531216655048,2.536402633999839e-05,0.11743040403403807,3.725053184947586e-05,0.02289909059799592,5.280188270388592e-06,0.0029154408562384227,2.0284617564446977e-07
