Region,Year,GDP per capita (euro),Imports (euro),Exports (euro),"Gross value added (millions of euro), A Agriculture, forestry and fishing","Gross value added (millions of euro), B Mining and quarrying","Gross value added (millions of euro), F Construction","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles","Gross value added (millions of euro), H Transportation and storage","Gross value added (millions of euro), I Accommodation and food service activities","Gross value added (millions of euro), J Information and communication","Gross value added (millions of euro), K Financial and insurance activities","Gross value added (millions of euro), M Professional, scientific and technical activities","Gross value added (millions of euro), N Administrative and support service activities","Gross value added (millions of euro), O Public administration and defence; compulsory social security","Gross value added (millions of euro), P Education","Gross value added (millions of euro), Q Human health and social work activities","Gross value added (millions of euro), R, S Other service activities","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hours worked, domestic (1 000 000 h)","A Agriculture, forestry and fishing (Population)",B Mining and quarrying (Population),C Manufacturing (Population),Children aged 0 to 14 (Population),"D Electricity, gas, steam and air conditioning supply (Population)","E Water supply; sewerage, waste management and remediation activities (Population)",Employed (Population),F Construction (Population),G Wholesale and retail trade; repair of motor vehicles and motorcycles (Population),H Transportation and storage (Population),I Accommodation and food service activities (Population),"Inhabitants, total (Population)",J Information and communication (Population),K Financial and insurance activities (Population),L Real estate activities (Population),"M Professional, scientific and technical activities (Population)",N Administrative and support service activities (Population),O Public administration and defence; compulsory social security (Population),Others (Population),P Education (Population),Pensioners (Population),Primary production (Population),Processing (Population),Q Human health and social work activities (Population),"R Arts, entertainment and recreation (Population)",S Other service activities (Population),Services (Population),Students (Population),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (Population),U Activities of extraterritorial organisations and bodies (Population),Unemployed (Population),"Workplaces, total (unit)",X Industry unknown (Population),Unemployed jobseekers (Population),Vacancies (unit),Median of debt for all debts (euro),Median of debt for consumption debts and other debts (euro),Median of debt for debts charged on business activities and a source of income (euro),Median of debt for housing loan debts (euro),Median of debt for study loan debts (euro),Mean of debt for all debts (euro),Mean of debt for consumption debts and other debts (euro),Mean of debt for debts charged on business activities and a source of income (euro),Mean of debt for housing loan debts (euro),Mean of debt for study loan debts (euro),"Operating surplus, net (euro)","Mixed income, net (euro)","Wages and salaries received, income (euro)","Employer's social security contributions, income (euro)","Property income, (incl. holding gains and losses), income (euro)","Property income, expenditure (euro)",Net national income (euro),"Social benefits other than social transfers in kind, income (euro)","Other current transfers, income (euro)","Income, property and other direct taxes excl. capital taxes, expenditure (euro)",Employer's social security contributions (euro),"Other current transfers, expenditure (euro)","Disposable income, net (euro)","Academic degree, higher university level degree (population)","Academic degree, lowest level tertiary and lower university level degrees (population)","Aged 18 or over, total (population)",Basic level studies (population),Matriculation examination (population),Vocational diploma (population),"With education, total (population)",Total (population)
1,2000,36270.1,,,255.5,40.8,2501.6,5985.4,3248.8,609.3,3475.9,2205.2,2677.2,1070.4,2374,1808.3,2503.3,1123.2,12.4,1251.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201,1080,18799,4676,4500,534,29720,5664,311,7232,6341,676,21447,,,,,,,,
1,2001,38454.8,,,235.4,43.4,2766.6,6491.5,3325.1,736.1,4055.9,2341.5,2818.8,1202.1,2481.2,1906.9,2767.8,1154.7,7.7,1267.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256,1320,19686,5035,3355,608,30045,5879,325,7428,6746,734,21341,,,,,,,,
1,2002,38552.7,,,246.1,39.1,2449.9,6530.9,3381.9,751.4,4565.4,2108.8,2828.2,1253.7,2506.5,1981.8,2977.4,1256.3,8.9,1283.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416,1377,20344,5100,3043,548,30730,6271,323,7514,6760,745,22305,,,,,,,,
1,2003,38643.2,,,235.6,34.6,2567,6380.4,3269.9,767.4,4293.5,1982.5,2929.8,1366.6,2635.8,2043.4,3056,1299.9,11.4,1261.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095875,249368,1060055,1798794,5930,72939.88462,18748.65385,76650.80769,86677.23077,6245.346154,1452,1400,20723,5046,3352,466,31508,6583,322,7427,6687,745,23552,,,,,,,,
1,2004,40312.2,,,233.9,42.8,2754.4,6842.6,3266.5,851.3,4858.8,2246,3105.6,1545.6,2852.3,2125.5,3181.5,1268.6,16.7,1261.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214049,273969,1094934,2034975,5885,81832.23077,20950.34615,82922.30769,97223.15385,6280.192308,1438,1576,21559,5234,3785,436,33156,6904,315,7692,6918,766,24999,,,,,,,,
1,2005,41705,,,221.4,34.3,2926.1,6995.2,3437.1,891.1,4330.3,2525.2,3258.3,1705.4,2870.7,2276.7,3337.5,1474.7,16.9,1283.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412126,295234,1124317,2295876,5930,93132.61538,24454.34615,89958.46154,108871.5,6255.538462,1452,1816,22711,5524,3816,525,34793,7124,325,8134,7332,762,26015,,,,,,,,
1,2006,43989.1,,,207.5,46.1,3063.1,7027.3,3363.3,946.9,4375.2,2741,3543.1,1877,3588.1,2320.3,3527.1,1636,17.5,1312.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569950,312923,1016016,2545708,6045,101449.2308,27703.26923,81622.92308,119443.4231,6307.923077,1564,1602,23893,5803,4233,713,36382,7340,362,8435,7875,822,26950,,,,,,,,
1,2007,47355.2,,,236.6,32.2,3477.2,7910.3,3792.8,1052.1,4948,3256.6,3985,2053.4,3821.1,2426.6,3720.8,1699.9,17.1,1346.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676220,298517,1087362,2738758,6121,107646.5769,27976.26923,87517.34615,127989.8077,6308.384615,1502,1831,25310,6134,5792,1174,39396,7527,368,9051,8322,848,29069,,,,,,,,
1,2008,48910.2,,,253.7,22.8,3590,8583.1,3661.7,1148.5,5092.6,2973,4334.6,2611.3,4180.6,2612,3906.9,1911,23.7,1383.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41777,11294,1695250,270676,1197822,2856550,6071,109173.7692,26781.11538,95642.76923,131964.1154,6312.961538,1755,1826,27065,6524,5136,1594,40712,7883,405,9430,8719,892,29959,,,,,,,,
1,2009,46620.1,,,217.1,77.3,3510.4,7800.7,3108.9,1084.9,5069.1,3030.7,4088.6,2323.4,4417.3,2773.7,4285.2,1950.5,25.5,1319.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57263,7083,1783287,264978,1309812,2987302,6176,112624.3462,27514.23077,100734.0769,135699.8077,6398.961538,1878,2091,27006,6407,3385,286,40481,8575,390,8759,8650,900,31137,,,,,,,,
1,2010,47943.9,,,225.1,75.2,3561.6,7841.1,3447.4,1089.9,5200.9,2846.9,4242.7,2523,4781.2,2909.4,4390.3,2040.2,28.6,1312.408,3192,327,65439,227717,4276,2336,666292,39210,102012,47234,26213,1352414,47107,24671,7389,54362,27267,41014,54318,45046,250558,3192,111588,90206,15036,22093,549909,102151,23,236,51349,664728,7,60495,7830,1902749,257925,1355463,3065824,6289,116941.1538,28073.65385,104110.8462,138732.3077,6482.923077,1871,2117,27906,6289,3878,25,42036,9152,465,8526,8828,1065,33234,170085,268622,1192450,326127,131079,296512,866298,1503274
1,2011,48614,,,201.9,65.5,3521.6,8706.4,3544,1136.1,5455.9,2974,4591.6,2542.9,3957.9,3025.6,4479.7,2168.3,31.8,1318.55,3062,247,64598,229572,4427,2433,675755,41838,102626,47534,26938,1367559,48799,24955,7518,56697,27798,40712,54483,46184,257004,3062,113543,91821,15483,22876,560193,100983,20,232,49739,676836,8,55729,10660,1919117,242966,1301276,3087663,6347,116862.4615,27700.42308,98862.57692,139120.2308,6345.692308,2060,1992,29145,6667,4499,387,43976,9664,593,9245,9308,1045,34636,175624,273653,1207731,323954,131535,302945,883757,1519175
1,2012,48536.8,,,198,70.5,3865.8,9294.5,3570.8,1178.1,5703.1,3137.1,4886.2,2668.9,3991.2,3274,4897.1,2207.1,40.2,1349.557,3186,174,63248,231952,4362,2290,677658,42438,103505,47974,28192,1384069,49106,24520,7957,57732,28662,40878,54648,46791,262445,3186,112512,96146,16095,23546,571369,101850,24,241,55469,687102,11,57845,10939,2345138,358874,1394117,3110484,6454,127215.3846,35172.96154,102231.7308,139561.6923,6378.038462,2083,2120,30141,6915,3650,301,44609,10320,613,9567,9801,1081,35093,181894,278338,1224564,322619,131229,310440,901901,1537066
1,2013,49746.8,,,199.5,48.4,3924.9,9242.9,3709.4,1039.9,6005.4,3056.5,4836.7,2747.2,4251.5,3307.8,5022.9,2286.8,46,1351.853,3153,232,59868,235090,4503,2207,671826,43012,101067,46488,28124,1400589,48062,23987,8000,57635,28688,39985,52628,46367,268738,3153,109822,97192,16275,23627,565767,103704,20,250,68563,678774,3,70784,10861,2409166,380122,1488469,3078732,6669,128090.8462,37030.03846,107385.8846,138160.4615,6342.846154,2208,1767,30592,7017,4483,336,45731,11046,503,10010,9956,1110,36204,189729,284718,1240610,318573,128730,318824,922001,1555017
