Municipality,Year,"A Agriculture, forestry and fishing Stock Of Enterprises (unit)",B Mining and quarrying Stock Of Enterprises (unit),C Manufacturing Stock Of Enterprises (unit),"D Electricity,  gas, steam and air conditioning supply Stock Of Enterprises (unit)","E Water supply: sewerage, waste management and remediation activities Stock Of Enterprises (unit)",F Construction Stock Of Enterprises (unit),G Wholesale and retail trade: repair of motor vehicles and motorcycles Stock Of Enterprises (unit),H Transportation and storage Stock Of Enterprises (unit),I Accommodation and food service activities Stock Of Enterprises (unit),J Information and communication Stock Of Enterprises (unit),K Financial and insurance activities Stock Of Enterprises (unit),L Real estate activities Stock Of Enterprises (unit),"M Professional, scientific and technical activities Stock of Enterprises (unit)",N Administrative and support service activities Stock Of Enterprises (unit),O Public administration and defence: compulsory social security Stock Of Enterprises (unit),P Education Stock Of Enterprises (unit),Q Human health and social work activities Stock Of Enterprises (unit),"R Arts, entertainment and recreation Stock Of Enterprises (unit)",S Other service activities Stock Of Enterprises (unit),T Activities of households as employers: undifferentiated goods- and services-producing activities of households for own use Stock Of Enterprises (unit),U Activities of extraterritorial organisations and bodies Stock Of Enterprises (unit),X Industry unknown Stock Of Enterprises (unit),Region
005,2005.0,57.0,19.0,115.0,5.0,9.0,119.0,145.0,72.0,23.0,9.0,6.0,34.0,44.0,29.0,,6.0,14.0,8.0,44.0,,,,14
005,2006.0,54.0,16.0,110.0,5.0,11.0,124.0,146.0,70.0,22.0,11.0,6.0,36.0,46.0,28.0,,7.0,15.0,10.0,46.0,,,,14
005,2007.0,55.0,15.0,116.0,5.0,10.0,132.0,150.0,72.0,22.0,11.0,6.0,36.0,52.0,28.0,,7.0,18.0,8.0,46.0,,,,14
005,2008.0,57.0,16.0,111.0,5.0,10.0,126.0,144.0,75.0,20.0,12.0,8.0,37.0,56.0,27.0,,7.0,20.0,7.0,44.0,,,,14
005,2009.0,64.0,16.0,109.0,5.0,10.0,126.0,138.0,72.0,23.0,10.0,8.0,38.0,49.0,28.0,,6.0,20.0,6.0,41.0,,,,14
005,2010.0,66.0,14.0,108.0,5.0,8.0,131.0,136.0,73.0,25.0,12.0,8.0,35.0,50.0,30.0,,7.0,20.0,7.0,43.0,,,,14
005,2011.0,67.0,16.0,107.0,5.0,8.0,132.0,144.0,68.0,25.0,12.0,8.0,37.0,50.0,32.0,,7.0,18.0,6.0,43.0,,,,14
005,2012.0,69.0,15.0,109.0,5.0,8.0,136.0,137.0,69.0,21.0,13.0,8.0,37.0,54.0,31.0,,8.0,18.0,6.0,43.0,,,,14
009,2005.0,13.0,4.0,15.0,,1.0,16.0,17.0,22.0,4.0,,2.0,3.0,3.0,4.0,,,2.0,3.0,6.0,,,,17
009,2006.0,13.0,4.0,15.0,,1.0,18.0,17.0,22.0,4.0,,2.0,3.0,4.0,4.0,,,2.0,2.0,4.0,,,,17
