Region,Municipality,Year,GDP per capita (euro at current prices),Imports (euro),Exports (euro)
01,TOTAL,2000,36270.1,,
01,TOTAL,2001,38454.8,,
01,TOTAL,2002,38552.7,,
01,TOTAL,2003,38643.2,,
01,TOTAL,2004,40312.2,,
01,TOTAL,2005,41705.0,,
01,TOTAL,2006,43989.1,,
01,TOTAL,2007,47355.2,,
01,TOTAL,2008,48910.2,,
01,TOTAL,2009,46620.1,,
01,TOTAL,2010,47943.9,,
01,TOTAL,2011,48614.0,,
01,TOTAL,2012,48536.8,,
01,TOTAL,2013,49746.8,,
01,TOTAL,2014,49522.7,,
01,TOTAL,2015,51046.2,33474000000.0,16912000000.0
01,TOTAL,2016,51914.0,34441000000.0,15850000000.0
01,TOTAL,2017,53512.8,36814000000.0,18255000000.0
01,TOTAL,2018,54982.0,38838000000.0,18717000000.0
01,TOTAL,2019,56756.6,38416000000.0,19361000000.0
01,TOTAL,2020,55424.5,33873000000.0,16571000000.0
01,TOTAL,2021,57622.9,40962000000.0,19341000000.0
01,TOTAL,2022,60375.8,52476000000.0,23877000000.0
01,TOTAL,2023,,45234000000.0,25849000000.0
01,TOTAL,2024,,42750000000.0,22418000000.0
02,TOTAL,2000,26094.0,,
02,TOTAL,2001,26551.8,,
02,TOTAL,2002,29570.2,,
02,TOTAL,2003,29065.6,,
02,TOTAL,2004,30627.2,,
02,TOTAL,2005,31344.2,,
02,TOTAL,2006,32924.9,,
02,TOTAL,2007,36024.5,,
02,TOTAL,2008,36529.7,,
02,TOTAL,2009,33380.0,,
02,TOTAL,2010,31680.0,,
02,TOTAL,2011,33911.0,,
02,TOTAL,2012,33863.1,,
02,TOTAL,2013,33902.3,,
02,TOTAL,2014,34387.2,,
02,TOTAL,2015,34417.8,3431000000.0,4647000000.0
02,TOTAL,2016,36103.0,3033000000.0,4000000000.0
02,TOTAL,2017,38440.6,4510000000.0,5763000000.0
02,TOTAL,2018,39544.4,5232000000.0,6370000000.0
02,TOTAL,2019,40404.6,5486000000.0,7450000000.0
02,TOTAL,2020,39752.0,4825000000.0,6916000000.0
02,TOTAL,2021,41181.0,5771000000.0,8039000000.0
02,TOTAL,2022,44629.6,5798000000.0,8734000000.0
02,TOTAL,2023,,4900000000.0,6987000000.0
02,TOTAL,2024,,4737000000.0,6718000000.0
03,TOTAL,2015,,1207000000.0,3348000000.0
03,TOTAL,2016,,1247000000.0,3098000000.0
03,TOTAL,2017,,1747000000.0,4149000000.0
03,TOTAL,2018,,1694000000.0,4246000000.0
03,TOTAL,2019,,1735000000.0,3982000000.0
03,TOTAL,2020,,1842000000.0,3957000000.0
03,TOTAL,2021,,2281000000.0,4859000000.0
03,TOTAL,2022,,2963000000.0,6587000000.0
03,TOTAL,2023,,2629000000.0,4152000000.0
03,TOTAL,2024,,3332000000.0,5926000000.0
04,TOTAL,2000,23325.3,,
04,TOTAL,2001,25814.2,,
04,TOTAL,2002,26215.8,,
04,TOTAL,2003,26399.7,,
04,TOTAL,2004,26385.4,,
04,TOTAL,2005,27884.1,,
04,TOTAL,2006,29245.8,,
04,TOTAL,2007,31059.4,,
04,TOTAL,2008,32021.8,,
04,TOTAL,2009,29956.3,,
04,TOTAL,2010,31847.0,,
04,TOTAL,2011,33724.6,,
04,TOTAL,2012,34671.2,,
04,TOTAL,2013,34143.3,,
04,TOTAL,2014,35164.0,,
04,TOTAL,2015,36178.0,722000000.0,1289000000.0
04,TOTAL,2016,34955.6,727000000.0,1367000000.0
04,TOTAL,2017,36167.8,807000000.0,1459000000.0
04,TOTAL,2018,36858.4,937000000.0,1396000000.0
04,TOTAL,2019,36564.9,972000000.0,1394000000.0
04,TOTAL,2020,37034.6,1003000000.0,1316000000.0
04,TOTAL,2021,39248.0,1131000000.0,1829000000.0
04,TOTAL,2022,42468.6,1096000000.0,1913000000.0
04,TOTAL,2023,,1094000000.0,1791000000.0
04,TOTAL,2024,,1175000000.0,1832000000.0
05,TOTAL,2000,20656.4,,
05,TOTAL,2001,22253.3,,
05,TOTAL,2002,22360.0,,
05,TOTAL,2003,23708.2,,
05,TOTAL,2004,25107.3,,
05,TOTAL,2005,25497.5,,
05,TOTAL,2006,26220.6,,
05,TOTAL,2007,27819.6,,
05,TOTAL,2008,30068.9,,
05,TOTAL,2009,26727.5,,
05,TOTAL,2010,27403.4,,
05,TOTAL,2011,29420.3,,
05,TOTAL,2012,32010.2,,
05,TOTAL,2013,31740.2,,
05,TOTAL,2014,31335.8,,
05,TOTAL,2015,31491.3,3159000000.0,4161000000.0
05,TOTAL,2016,32119.7,3318000000.0,4138000000.0
05,TOTAL,2017,33124.4,3497000000.0,4775000000.0
05,TOTAL,2018,33256.0,3700000000.0,4715000000.0
05,TOTAL,2019,34667.5,3724000000.0,5261000000.0
05,TOTAL,2020,35522.7,3527000000.0,4871000000.0
05,TOTAL,2021,37967.0,4303000000.0,5927000000.0
05,TOTAL,2022,38841.6,4760000000.0,6985000000.0
05,TOTAL,2023,,4227000000.0,8825000000.0
05,TOTAL,2024,,4204000000.0,6540000000.0
06,TOTAL,2000,24923.3,,
06,TOTAL,2001,27338.9,,
06,TOTAL,2002,28117.4,,
06,TOTAL,2003,28831.7,,
06,TOTAL,2004,30063.5,,
06,TOTAL,2005,31234.4,,
06,TOTAL,2006,31899.4,,
06,TOTAL,2007,34830.6,,
06,TOTAL,2008,36086.9,,
06,TOTAL,2009,32215.5,,
06,TOTAL,2010,33356.1,,
06,TOTAL,2011,35958.7,,
06,TOTAL,2012,35345.6,,
06,TOTAL,2013,34972.6,,
06,TOTAL,2014,34596.1,,
06,TOTAL,2015,34608.1,1105000000.0,1697000000.0
06,TOTAL,2016,35947.5,1074000000.0,1670000000.0
06,TOTAL,2017,37247.0,1137000000.0,1818000000.0
06,TOTAL,2018,38781.9,1231000000.0,1946000000.0
06,TOTAL,2019,39863.9,1217000000.0,1897000000.0
06,TOTAL,2020,40148.2,1145000000.0,1648000000.0
06,TOTAL,2021,41910.2,1218000000.0,2054000000.0
06,TOTAL,2022,44133.8,1382000000.0,2378000000.0
06,TOTAL,2023,,1214000000.0,2144000000.0
06,TOTAL,2024,,1121000000.0,2210000000.0
07,TOTAL,2000,20701.5,,
07,TOTAL,2001,22123.4,,
07,TOTAL,2002,21861.5,,
07,TOTAL,2003,23141.2,,
07,TOTAL,2004,24072.2,,
07,TOTAL,2005,25006.1,,
07,TOTAL,2006,25399.4,,
07,TOTAL,2007,26594.8,,
07,TOTAL,2008,28140.5,,
07,TOTAL,2009,26033.0,,
07,TOTAL,2010,27711.1,,
07,TOTAL,2011,29281.5,,
07,TOTAL,2012,30547.0,,
07,TOTAL,2013,29858.5,,
07,TOTAL,2014,30513.9,,
07,TOTAL,2015,30755.5,898000000.0,4766000000.0
07,TOTAL,2016,31679.5,867000000.0,4661000000.0
07,TOTAL,2017,32139.8,2002000000.0,3387000000.0
07,TOTAL,2018,32759.5,1772000000.0,4020000000.0
07,TOTAL,2019,32905.6,1050000000.0,4676000000.0
07,TOTAL,2020,32745.5,856000000.0,3003000000.0
07,TOTAL,2021,34467.9,1007000000.0,3181000000.0
07,TOTAL,2022,37708.0,1111000000.0,3310000000.0
07,TOTAL,2023,,1069000000.0,1986000000.0
07,TOTAL,2024,,1371000000.0,2736000000.0
08,TOTAL,2000,27357.0,,
08,TOTAL,2001,28665.5,,
08,TOTAL,2002,28068.5,,
08,TOTAL,2003,27953.3,,
08,TOTAL,2004,30399.0,,
08,TOTAL,2005,31270.8,,
08,TOTAL,2006,31359.5,,
08,TOTAL,2007,31679.1,,
08,TOTAL,2008,30890.4,,
08,TOTAL,2009,28153.3,,
08,TOTAL,2010,29363.5,,
08,TOTAL,2011,31763.2,,
08,TOTAL,2012,32034.9,,
08,TOTAL,2013,32115.4,,
08,TOTAL,2014,32837.7,,
08,TOTAL,2015,34903.2,377000000.0,1277000000.0
08,TOTAL,2016,34794.8,338000000.0,1397000000.0
08,TOTAL,2017,37371.4,393000000.0,2177000000.0
08,TOTAL,2018,39846.3,530000000.0,2490000000.0
08,TOTAL,2019,41287.3,508000000.0,2106000000.0
08,TOTAL,2020,41506.5,457000000.0,1944000000.0
08,TOTAL,2021,42936.9,523000000.0,2583000000.0
08,TOTAL,2022,44126.7,517000000.0,2985000000.0
08,TOTAL,2023,,454000000.0,1822000000.0
08,TOTAL,2024,,378000000.0,2271000000.0
09,TOTAL,2000,25954.6,,
09,TOTAL,2001,26856.8,,
09,TOTAL,2002,26612.6,,
09,TOTAL,2003,27694.5,,
09,TOTAL,2004,27903.7,,
09,TOTAL,2005,27889.7,,
09,TOTAL,2006,28703.2,,
09,TOTAL,2007,31543.9,,
09,TOTAL,2008,31602.5,,
09,TOTAL,2009,28988.3,,
09,TOTAL,2010,31287.8,,
09,TOTAL,2011,35319.5,,
09,TOTAL,2012,35121.3,,
09,TOTAL,2013,35479.0,,
09,TOTAL,2014,37266.2,,
09,TOTAL,2015,36577.3,246000000.0,387000000.0
09,TOTAL,2016,36455.6,260000000.0,422000000.0
09,TOTAL,2017,38887.9,277000000.0,410000000.0
09,TOTAL,2018,39219.9,285000000.0,392000000.0
09,TOTAL,2019,38900.7,290000000.0,374000000.0
09,TOTAL,2020,37378.9,286000000.0,398000000.0
09,TOTAL,2021,41539.3,311000000.0,478000000.0
09,TOTAL,2022,43646.0,316000000.0,516000000.0
09,TOTAL,2023,,325000000.0,497000000.0
09,TOTAL,2024,,310000000.0,605000000.0
10,TOTAL,2000,17678.1,,
10,TOTAL,2001,18777.3,,
10,TOTAL,2002,19360.0,,
10,TOTAL,2003,20455.1,,
10,TOTAL,2004,21581.9,,
10,TOTAL,2005,22528.8,,
10,TOTAL,2006,23271.5,,
10,TOTAL,2007,25984.0,,
10,TOTAL,2008,25908.8,,
10,TOTAL,2009,24348.4,,
10,TOTAL,2010,25609.5,,
10,TOTAL,2011,26989.8,,
10,TOTAL,2012,28173.2,,
10,TOTAL,2013,28566.0,,
10,TOTAL,2014,29834.7,,
10,TOTAL,2015,29441.1,511000000.0,1135000000.0
10,TOTAL,2016,30397.6,515000000.0,1177000000.0
10,TOTAL,2017,31079.4,531000000.0,1591000000.0
10,TOTAL,2018,32249.7,526000000.0,1507000000.0
10,TOTAL,2019,32910.2,565000000.0,1578000000.0
10,TOTAL,2020,33034.8,564000000.0,1457000000.0
10,TOTAL,2021,34167.4,641000000.0,1925000000.0
10,TOTAL,2022,37847.9,655000000.0,2157000000.0
10,TOTAL,2023,,613000000.0,1898000000.0
10,TOTAL,2024,,525000000.0,1755000000.0
11,TOTAL,2000,19493.5,,
11,TOTAL,2001,20881.4,,
11,TOTAL,2002,21324.0,,
11,TOTAL,2003,22128.3,,
11,TOTAL,2004,22665.7,,
11,TOTAL,2005,24076.4,,
11,TOTAL,2006,24992.9,,
11,TOTAL,2007,27091.2,,
11,TOTAL,2008,28875.0,,
11,TOTAL,2009,26360.8,,
11,TOTAL,2010,27660.3,,
11,TOTAL,2011,30001.1,,
11,TOTAL,2012,29968.1,,
11,TOTAL,2013,30119.2,,
11,TOTAL,2014,30842.8,,
11,TOTAL,2015,31361.6,274000000.0,766000000.0
11,TOTAL,2016,32053.9,299000000.0,755000000.0
11,TOTAL,2017,33681.4,326000000.0,899000000.0
11,TOTAL,2018,35220.2,368000000.0,972000000.0
11,TOTAL,2019,36065.6,389000000.0,921000000.0
11,TOTAL,2020,35762.4,381000000.0,810000000.0
11,TOTAL,2021,37853.5,445000000.0,1029000000.0
11,TOTAL,2022,42213.7,443000000.0,1207000000.0
11,TOTAL,2023,,429000000.0,993000000.0
11,TOTAL,2024,,404000000.0,975000000.0
12,TOTAL,2000,18953.8,,
12,TOTAL,2001,19629.0,,
12,TOTAL,2002,19770.6,,
12,TOTAL,2003,21001.9,,
12,TOTAL,2004,22359.0,,
12,TOTAL,2005,23104.1,,
12,TOTAL,2006,24552.4,,
12,TOTAL,2007,25472.6,,
12,TOTAL,2008,25804.0,,
12,TOTAL,2009,23862.2,,
12,TOTAL,2010,24923.5,,
12,TOTAL,2011,27907.5,,
12,TOTAL,2012,27776.7,,
12,TOTAL,2013,28679.5,,
12,TOTAL,2014,29585.1,,
12,TOTAL,2015,29068.8,754000000.0,2135000000.0
12,TOTAL,2016,30174.8,775000000.0,2159000000.0
12,TOTAL,2017,30573.3,870000000.0,2394000000.0
12,TOTAL,2018,32994.7,923000000.0,2923000000.0
12,TOTAL,2019,33428.7,1019000000.0,2687000000.0
12,TOTAL,2020,32441.6,1009000000.0,2475000000.0
12,TOTAL,2021,35017.0,1281000000.0,2850000000.0
12,TOTAL,2022,37992.8,1233000000.0,2996000000.0
12,TOTAL,2023,,1305000000.0,2769000000.0
12,TOTAL,2024,,1209000000.0,2835000000.0
13,TOTAL,2000,22274.9,,
13,TOTAL,2001,24194.7,,
13,TOTAL,2002,24662.2,,
13,TOTAL,2003,24956.7,,
13,TOTAL,2004,24994.0,,
13,TOTAL,2005,25611.6,,
13,TOTAL,2006,26733.1,,
13,TOTAL,2007,29206.1,,
13,TOTAL,2008,30453.9,,
13,TOTAL,2009,28472.4,,
13,TOTAL,2010,27381.6,,
13,TOTAL,2011,29368.7,,
