Region,Municipality,Year,GDP per capita (euro at current prices),Imports (euro),Exports (euro),"Gross value added (millions of euro), A Agriculture, forestry and fishing (01-03)","Gross value added (millions of euro), B Mining and quarrying (05-09)","Gross value added (millions of euro), F Construction (41-43)","Gross value added (millions of euro), G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47)","Gross value added (millions of euro), H Transportation and storage (49-53)","Gross value added (millions of euro), I Accommodation and food service activities (55-56)","Gross value added (millions of euro), J Information and communication (58-63)","Gross value added (millions of euro), K Financial and insurance activities (64-66)","Gross value added (millions of euro), M Professional, scientific and technical activities (69-75)","Gross value added (millions of euro), N Administrative and support service activities (77-82)","Gross value added (millions of euro), O Public administration and defence; compulsory social security (84)","Gross value added (millions of euro), P Education (85)","Gross value added (millions of euro), Q Human health and social work activities (86-88)","Gross value added (millions of euro), R, S Other service activities (90-96)","Gross value added (millions of euro),  T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98)"
01,TOTAL,2015,51046.2,33474000000,16912000000,217.5,7.7,3993.3,8411.8,3745.8,1160.8,6835.1,3535.4,4952,2863.6,4107.7,3666.6,5283.8,2329.5,57.2
01,TOTAL,2016,51914.0,34441000000,15850000000,219.8,47,4547.2,8250.4,3734.9,1220.7,7101,3910.6,5048.4,3201.1,4159.3,3462.2,5414.6,2406.4,64.6
01,TOTAL,2017,53512.8,36814000000,18255000000,214.5,70,4877.4,8617.2,3912.4,1334.6,7408.4,4035.8,5282.7,3502.8,3851.6,3459.7,5453.5,2416.2,65.4
01,TOTAL,2018,54982.0,38838000000,18717000000,234.3,70.7,5306.2,8723.5,3957,1431.5,7605.5,4230.2,5614.7,3817.1,4005.8,3540.7,5623,2574.7,73.5
01,TOTAL,2019,56756.6,38416000000,19361000000,244.7,50.6,5513.9,8751.4,4194.8,1523.3,8041.6,3797.1,5659.8,4255.7,4185.6,3745,5895.5,2998.3,76.8
01,TOTAL,2020,55424.5,33873000000,16571000000,231.6,51,5817.5,9233.4,2684.9,856.8,8344.9,3853.5,5935.6,3786.5,4337,3787.1,6128.8,2814.1,77.5
01,TOTAL,2021,57622.9,40962000000,19341000000,244.2,30,5554.5,9553.2,2884.8,844.9,9226.1,4446.4,6357.2,3861.1,4398,3950.8,6591.8,2918.8,83.7
01,TOTAL,2022,60375.8,52476000000,23877000000,270.3,25,5605.8,9552.8,3764.5,1289.4,8829,4958,6638.9,4071.4,4603,4117.3,6960.2,3126,92.2
10,TOTAL,2015,29441.1,511000000,1135000000,371.8,9,228.1,254.6,150.2,66.1,60.8,62.2,137.9,66.4,201.2,213.5,521.9,136.4,12.7
10,TOTAL,2016,30397.6,515000000,1177000000,393.9,6.1,240.6,258.3,149.3,71.6,62.2,54.1,126.6,64.9,182.7,236.8,541.7,106.2,12.3
10,TOTAL,2017,31079.4,531000000,1591000000,407.5,5.8,243.1,260.2,145.8,70.8,58.7,59.6,140.8,61.9,239.6,198.1,501.5,114.9,12.4
10,TOTAL,2018,32249.7,526000000,1507000000,442.3,6.3,251,262.1,144.8,70.4,60.1,50.1,137.4,69.4,214.9,205.8,565.4,114,11.6
10,TOTAL,2019,32910.2,565000000,1578000000,444.1,6.4,254.9,271.8,151.5,69.2,62.1,44.8,140.9,72.8,221.4,196.6,577.7,100.9,12.1
10,TOTAL,2020,33034.8,564000000,1457000000,435.8,4.4,260.2,282.5,138.2,44.1,57.6,42.3,134.5,73.8,217.7,192.9,585.4,85.9,12.6
10,TOTAL,2021,34167.4,641000000,1925000000,421.6,5.3,238,271.6,142.9,70.4,57.1,45,140.8,83.6,232.3,202.8,608.7,88.8,9.8
10,TOTAL,2022,37847.9,655000000,2157000000,476.7,3.4,243.5,282.5,136.4,84.3,51,53.7,142.2,89.6,238.1,211,622.4,100.4,9.2
11,TOTAL,2015,31361.6,274000000,766000000,370.0,52.3,499.8,541.8,288.5,94,166.3,177,339.5,210.2,349.6,459.2,992.8,188.5,29.2
11,TOTAL,2016,32053.9,299000000,755000000,391.0,35.6,512.1,554,285.7,106.9,160.9,180.6,356.2,206.4,338,489.3,1011.3,187.6,24.1
11,TOTAL,2017,33681.4,326000000,899000000,427.7,46,561.8,548.4,299.5,115.6,172.6,190.2,342.1,207.5,387,476.3,1010.7,194.8,24.4
11,TOTAL,2018,35220.2,368000000,972000000,469.6,49.1,603.1,549.2,289.9,114.5,167.9,208.3,363.1,230.9,394.1,467.4,1041.9,199.3,24.2
11,TOTAL,2019,36065.6,389000000,921000000,464.4,34.5,602,570.6,302.7,128.9,178.9,207.6,400.6,246.2,363,477.6,1052.4,182.7,24.5
11,TOTAL,2020,35762.4,381000000,810000000,476.9,45,627.6,571.6,294.7,81.1,174.7,195.7,393.6,259.7,366.7,484,1070.6,175.7,25
11,TOTAL,2021,37853.5,445000000,1029000000,500.7,19.3,633.7,563,291.8,96,176.5,222.4,417,274.7,393.7,509.8,1134.9,187.2,25.7
11,TOTAL,2022,42213.7,443000000,1207000000,557.3,30.3,675.1,611.4,336.6,115.7,178.2,237.1,442.3,311.9,412.3,529.9,1173.7,199.5,21.6
12,TOTAL,2015,29068.8,754000000,2135000000,287.7,35.4,297.5,277.3,168.7,68.2,127,77.8,106.3,77.9,240.8,315.9,564.3,119.7,17
12,TOTAL,2016,30174.8,775000000,2159000000,308.4,42.2,294.1,307.9,168.1,58.6,129.3,76.6,118.2,82.2,239.6,308.3,577,120,16.2
12,TOTAL,2017,30573.3,870000000,2394000000,308.2,35.8,314.2,297,165.3,80.8,125.3,84.9,127,90.6,292.2,316.7,536.9,124.2,16.4
