Region,Year,"A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),Children aged 0 to 14 (PT),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",Employed (PT),F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),"Inhabitants, total (PT)",J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),Others (PT),P Education (TP),Pensioners (PT),Primary production (TP),Processing (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),Services (TP),Students (PT),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),Unemployed (PT),"Workplaces, total (TP)",X Industry unknown (TP)
01,2010,3192,327,65439,227717,4276,2336,666292,39210,102012,47234,26213,1352414,47107,24671,7389,54362,27267,41014,54318,45046,250558,3192,111588,90206,15036,22093,549909,102151,23,236,51349,664728,7
01,2011,3062,247,64598,229572,4427,2433,675755,41838,102626,47534,26938,1367559,48799,24955,7518,56697,27798,40712,54483,46184,257004,3062,113543,91821,15483,22876,560193,100983,20,232,49739,676836,8
01,2012,3186,174,63248,231952,4362,2290,677658,42438,103505,47974,28192,1384069,49106,24520,7957,57732,28662,40878,54648,46791,262445,3186,112512,96146,16095,23546,571369,101850,24,241,55469,687102,11
01,2013,3153,232,59868,235090,4503,2207,671826,43012,101067,46488,28124,1400589,48062,23987,8000,57635,28688,39985,52628,46367,268738,3153,109822,97192,16275,23627,565767,103704,20,250,68563,678774,3
01,2014,3028,255,57208,238213,4417,2302,667124,42715,94737,47131,27809,1416300,48495,23152,7548,57185,30113,39407,52040,45242,273544,3028,106897,96373,16539,23216,557266,105672,24,295,79675,667218,5
01,2015,3113,158,56272,240830,4221,2443,667905,43286,92478,45929,28089,1432376,48985,23569,7852,58264,32561,37725,52175,45627,278783,3113,106380,94971,16925,22557,555828,106905,27,269,85736,665355,7
01,2016,2858,173,55166,242963,4626,2540,677579,45717,91865,45429,29214,1449263,50780,23991,7946,60076,33698,37641,53810,44877,284843,2858,108222,96466,17037,22324,561703,107133,46,313,82901,672813,12
01,2017,2930,254,56148,244913,4670,2595,695116,48268,92879,46670,30820,1465829,52725,24767,8336,62395,33943,38349,56016,45201,291938,2930,111935,98977,17741,22637,575589,105987,82,67,71822,690483,9
01,2018,2784,253,57223,245577,4665,2651,714795,50599,93835,47510,30051,1481026,55602,25086,8692,65595,35178,38785,56326,45609,295990,2784,115391,100913,18197,22830,588057,104569,101,73,63732,706265,23
01,2019,2689,201,57216,246156,4828,2559,724609,48985,88998,46803,29668,1499851,56326,25052,8697,64857,34541,39985,58237,48500,297705,2689,113789,101296,17803,21973,584836,109554,19,318,63552,701347,21
01,2020,2593,303,55718,246470,4997,2593,689134,50140,89438,39976,21459,1513248,60207,25398,8911,65753,35110,42875,56744,49010,300176,2593,113751,101968,15842,21909,578326,119591,5,465,101096,694688,9
01,2021,2711,287,60629,245780,5218,2622,720106,52411,92835,42783,25007,1523737,64464,25856,9798,69327,37792,42475,58362,50057,301157,2711,121167,103645,17638,22951,605067,118886,13,426,79424,728973,17
01,2022,2688,284,62800,245152,5026,2640,741630,53517,94608,44728,29581,1540610,68194,27046,10162,71909,40193,43431,59976,51263,302600,2688,124267,104591,18568,23376,628072,117172,13,409,74061,755059,25
